,Random Forest,XGBoost,ElasticNet,KNN
2024-08-01,0.2563420793913216,0.4669644438784323,0.4942833393809029,0.43178312457374557
2024-08-02,0.38141163267801587,0.1450592553995939,0.26958073598726995,0.4383111527974924
2024-08-03,0.6075850406784881,0.6501347971548719,0.5210589367709674,0.7065889894415281
2024-08-04,0.45740260731364496,0.7000424205420943,0.48923611729894023,0.7674933224465212
2024-08-05,0.2883720802481869,0.4322877348897948,0.48989198320083843,0.49464802300895394
2024-08-06,0.7793161006994774,0.7043452980104391,0.6230154958041478,0.7348160767611626
2024-08-07,0.6086641662322005,0.8005299628467146,0.8125147713197359,0.5789277444840016
2024-08-08,0.2214464897394294,0.41336526428421644,0.5651403436123987,0.20585431741889698
2024-08-09,0.6250770397950987,0.8017512998267383,0.5513179006953214,0.4844185518054952
2024-08-10,0.36641149226882475,0.775424879508876,0.8679234412631899,0.9055190040339665
2024-08-11,0.5508723854033708,0.80029214645419,0.7012347757522144,0.5984919938200232
2024-08-12,1.0454449315136372,1.2813957342586562,0.600717340393436,0.4880054644502799
2024-08-13,0.46000141385512117,0.3535573349736014,0.7208317530851281,0.5885518951913531
2024-08-14,0.6379787431150552,1.0523322657384788,0.5229115636999868,0.4101268096576958
2024-08-15,0.4306789995166416,0.5104514612331179,0.7800187065699344,0.42160328904472905
2024-08-16,0.4243838950522812,0.5634145037558557,0.4335060814544863,0.5509476684162783
2024-08-17,0.5563606256977007,0.8059752362196073,0.5869001360887502,0.5335335041026008
2024-08-18,0.6037145390228236,0.68157789191777,0.5929202766600362,0.6656522204601267
2024-08-19,1.037899591185375,0.9071096752837878,1.0206842551497042,1.1173930524555633
2024-08-20,0.8531399284022994,0.8540228317425937,0.8140570337389533,0.8691478585373147
2024-08-21,0.7285848055300723,0.6086987298498739,0.8841606258721537,0.7156731097365612
2024-08-22,0.44970881109136224,0.6347317143834479,0.622577120891492,0.4444419722153462
2024-08-23,0.4530680164665629,0.2973442834092411,0.21682618796565092,0.44169370986389805
2024-08-24,0.39708221686183254,0.7437146353784274,0.5874138994422673,0.703106914582223
2024-08-25,2.136102879076754,2.1685554560728835,2.050170354331779,2.2336409738362164
2024-08-26,0.7120483700019833,0.8332867144416364,0.6904402725777523,0.6892691781880285
2024-08-27,0.5568362940158743,0.5770677317433098,0.5081187811603448,0.17400383137544226
2024-08-28,1.1355722330827613,1.109570888462548,0.9625192771805803,0.9082051897377963
2024-08-29,0.5225709667581702,0.7673917054845104,0.3527179088850209,0.6355401901794513
2024-08-30,0.8548563446568087,0.6919387744138872,0.7831525325234152,0.765009803858748
