,Random Forest,XGBoost,ElasticNet,KNN
2024-08-01,0.17905000000000024,0.41530940612157186,0.4431065838117593,0.3516666666666666
2024-08-02,0.27269719202898557,0.11503586252530414,0.24932672263453348,0.36900000000000005
2024-08-03,0.45800570652173983,0.5961093799273173,0.4049418100657589,0.6126666666666667
2024-08-04,0.3131811594202904,0.5441807711124421,0.3518768880929493,0.49499999999999994
2024-08-05,0.241566666666667,0.3008283480008443,0.43739184572693474,0.38566666666666666
2024-08-06,0.6204225543478261,0.5664041678110759,0.48869560502138887,0.606
2024-08-07,0.5664027173913047,0.6399256793657939,0.6293526007635849,0.48866666666666675
2024-08-08,0.15407735507246387,0.2635801017284393,0.43297938822325666,0.18333333333333326
2024-08-09,0.49758922101449315,0.677962052822113,0.4378179293307356,0.37199999999999994
2024-08-10,0.3103500000000004,0.5661111561457315,0.6726974802140048,0.759
2024-08-11,0.4140499999999993,0.6612446626027425,0.42827931469448727,0.5163333333333332
2024-08-12,0.7186225543478258,0.9610712297757468,0.38988476717038933,0.39466666666666655
2024-08-13,0.37940099637681174,0.3173937233289083,0.5928126946296499,0.41866666666666674
2024-08-14,0.48533333333333273,0.7702541967233022,0.3599871152042171,0.2926666666666665
2024-08-15,0.3419558876811595,0.3939837805430095,0.6371929705211824,0.3233333333333333
2024-08-16,0.3546824275362322,0.48964597821235656,0.33958052462592603,0.3716666666666666
2024-08-17,0.3379295289855071,0.5112418564160665,0.379456467127767,0.3956666666666666
2024-08-18,0.4354606884057974,0.4792029774188995,0.4073115100459473,0.5392590579710145
2024-08-19,0.7072078804347828,0.6692577656110128,0.7138612632429592,0.7442590579710143
2024-08-20,0.5434069746376811,0.5893327522277833,0.5411992421061781,0.6589999999999999
2024-08-21,0.6063607789855074,0.5506166370709739,0.7047130106171146,0.5946666666666666
2024-08-22,0.40747744565217453,0.5497768020629883,0.44434576180801977,0.3629999999999998
2024-08-23,0.3822225543478266,0.2759714126586914,0.17349420716845568,0.3860000000000001
2024-08-24,0.28821875000000063,0.5894999321301778,0.37464313298375856,0.47766666666666663
2024-08-25,1.5107,1.5636089793841041,1.4333004988395366,1.446666666666667
2024-08-26,0.5740225543478258,0.7025947344303131,0.4405692490679633,0.598
2024-08-27,0.4378833333333329,0.45089919090270997,0.3687303225506063,0.1566666666666667
2024-08-28,0.8792392210144929,0.8978107678890228,0.6805564774194788,0.559
2024-08-29,0.40276077898550716,0.6396916540463765,0.29542737543185243,0.41033333333333327
2024-08-30,0.747966666666667,0.5786175521214804,0.6851478758778168,0.5613333333333334
