Timestamp start (Europe/Brussels),Timestamp end (Europe/Brussels),Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh),dtbe,dtutc
01/01/2024 13:00,01/01/2024 13:15,61.13,2024-01-01 13:00:00+01:00,2024-01-01 12:00:00+00:00
01/01/2024 13:15,01/01/2024 13:30,61.13,2024-01-01 13:15:00+01:00,2024-01-01 12:15:00+00:00
01/01/2024 13:30,01/01/2024 13:45,61.13,2024-01-01 13:30:00+01:00,2024-01-01 12:30:00+00:00
01/01/2024 13:45,01/01/2024 14:00,61.13,2024-01-01 13:45:00+01:00,2024-01-01 12:45:00+00:00
01/01/2024 14:00,01/01/2024 14:15,65.31,2024-01-01 14:00:00+01:00,2024-01-01 13:00:00+00:00
01/01/2024 14:15,01/01/2024 14:30,65.31,2024-01-01 14:15:00+01:00,2024-01-01 13:15:00+00:00
01/01/2024 14:30,01/01/2024 14:45,65.31,2024-01-01 14:30:00+01:00,2024-01-01 13:30:00+00:00
01/01/2024 14:45,01/01/2024 15:00,65.31,2024-01-01 14:45:00+01:00,2024-01-01 13:45:00+00:00
01/01/2024 15:00,01/01/2024 15:15,71.14,2024-01-01 15:00:00+01:00,2024-01-01 14:00:00+00:00
01/01/2024 15:15,01/01/2024 15:30,71.14,2024-01-01 15:15:00+01:00,2024-01-01 14:15:00+00:00
01/01/2024 15:30,01/01/2024 15:45,71.14,2024-01-01 15:30:00+01:00,2024-01-01 14:30:00+00:00
01/01/2024 15:45,01/01/2024 16:00,71.14,2024-01-01 15:45:00+01:00,2024-01-01 14:45:00+00:00
01/01/2024 16:00,01/01/2024 16:15,74.79,2024-01-01 16:00:00+01:00,2024-01-01 15:00:00+00:00
01/01/2024 16:15,01/01/2024 16:30,74.79,2024-01-01 16:15:00+01:00,2024-01-01 15:15:00+00:00
01/01/2024 16:30,01/01/2024 16:45,74.79,2024-01-01 16:30:00+01:00,2024-01-01 15:30:00+00:00
01/01/2024 16:45,01/01/2024 17:00,74.79,2024-01-01 16:45:00+01:00,2024-01-01 15:45:00+00:00
01/01/2024 17:00,01/01/2024 17:15,86.05,2024-01-01 17:00:00+01:00,2024-01-01 16:00:00+00:00
01/01/2024 17:15,01/01/2024 17:30,86.05,2024-01-01 17:15:00+01:00,2024-01-01 16:15:00+00:00
