dtutc,dtgb,GMT Time,National Demand Outturn (INDO) - GB (MW),National Demand Forecast (NDF) - GB (MW)
2024-02-09 00:00:00+00:00,2024-02-09 00:00:00,09/02/2024 00:00:00,23968,23500
2024-02-09 00:30:00+00:00,2024-02-09 00:30:00,09/02/2024 00:30:00,24241,23700
2024-02-09 01:00:00+00:00,2024-02-09 01:00:00,09/02/2024 01:00:00,24000,23467
2024-02-09 01:30:00+00:00,2024-02-09 01:30:00,09/02/2024 01:30:00,23388,23045
2024-02-09 02:00:00+00:00,2024-02-09 02:00:00,09/02/2024 02:00:00,23107,22171
2024-02-09 02:30:00+00:00,2024-02-09 02:30:00,09/02/2024 02:30:00,22938,22420
2024-02-09 03:00:00+00:00,2024-02-09 03:00:00,09/02/2024 03:00:00,22726,22139
2024-02-09 03:30:00+00:00,2024-02-09 03:30:00,09/02/2024 03:30:00,22341,21950
2024-02-09 04:00:00+00:00,2024-02-09 04:00:00,09/02/2024 04:00:00,22192,21600
2024-02-09 04:30:00+00:00,2024-02-09 04:30:00,09/02/2024 04:30:00,22073,21725
2024-02-09 05:00:00+00:00,2024-02-09 05:00:00,09/02/2024 05:00:00,22636,22401
2024-02-09 05:30:00+00:00,2024-02-09 05:30:00,09/02/2024 05:30:00,23526,23386
2024-02-09 06:00:00+00:00,2024-02-09 06:00:00,09/02/2024 06:00:00,26027,25954
2024-02-09 06:30:00+00:00,2024-02-09 06:30:00,09/02/2024 06:30:00,28594,28346
2024-02-09 07:00:00+00:00,2024-02-09 07:00:00,09/02/2024 07:00:00,32080,31813
2024-02-09 07:30:00+00:00,2024-02-09 07:30:00,09/02/2024 07:30:00,33354,33180
2024-02-09 08:00:00+00:00,2024-02-09 08:00:00,09/02/2024 08:00:00,34619,34758
2024-02-09 08:30:00+00:00,2024-02-09 08:30:00,09/02/2024 08:30:00,34720,35100
2024-02-09 09:00:00+00:00,2024-02-09 09:00:00,09/02/2024 09:00:00,35142,35420
2024-02-09 09:30:00+00:00,2024-02-09 09:30:00,09/02/2024 09:30:00,35281,35356
2024-02-09 10:00:00+00:00,2024-02-09 10:00:00,09/02/2024 10:00:00,35458,35500
2024-02-09 10:30:00+00:00,2024-02-09 10:30:00,09/02/2024 10:30:00,35302,35478
2024-02-09 11:00:00+00:00,2024-02-09 11:00:00,09/02/2024 11:00:00,34977,35700
2024-02-09 11:30:00+00:00,2024-02-09 11:30:00,09/02/2024 11:30:00,34941,35235
2024-02-09 12:00:00+00:00,2024-02-09 12:00:00,09/02/2024 12:00:00,35310,35179
2024-02-09 12:30:00+00:00,2024-02-09 12:30:00,09/02/2024 12:30:00,35229,34683
2024-02-09 13:00:00+00:00,2024-02-09 13:00:00,09/02/2024 13:00:00,34821,34646
2024-02-09 13:30:00+00:00,2024-02-09 13:30:00,09/02/2024 13:30:00,34609,34600
2024-02-09 14:00:00+00:00,2024-02-09 14:00:00,09/02/2024 14:00:00,34041,34750
2024-02-09 14:30:00+00:00,2024-02-09 14:30:00,09/02/2024 14:30:00,34006,34600
2024-02-09 15:00:00+00:00,2024-02-09 15:00:00,09/02/2024 15:00:00,33933,34851
2024-02-09 15:30:00+00:00,2024-02-09 15:30:00,09/02/2024 15:30:00,34432,35596
2024-02-09 16:00:00+00:00,2024-02-09 16:00:00,09/02/2024 16:00:00,35288,36741
2024-02-09 16:30:00+00:00,2024-02-09 16:30:00,09/02/2024 16:30:00,36264,37672
2024-02-09 17:00:00+00:00,2024-02-09 17:00:00,09/02/2024 17:00:00,37407,38758
2024-02-09 17:30:00+00:00,2024-02-09 17:30:00,09/02/2024 17:30:00,38276,38800
2024-02-09 18:00:00+00:00,2024-02-09 18:00:00,09/02/2024 18:00:00,38463,38354
2024-02-09 18:30:00+00:00,2024-02-09 18:30:00,09/02/2024 18:30:00,37625,37764
2024-02-09 19:00:00+00:00,2024-02-09 19:00:00,09/02/2024 19:00:00,36700,37120
2024-02-09 19:30:00+00:00,2024-02-09 19:30:00,09/02/2024 19:30:00,35351,35888
2024-02-09 20:00:00+00:00,2024-02-09 20:00:00,09/02/2024 20:00:00,34434,34436
2024-02-09 20:30:00+00:00,2024-02-09 20:30:00,09/02/2024 20:30:00,33237,33100
2024-02-09 21:00:00+00:00,2024-02-09 21:00:00,09/02/2024 21:00:00,31708,31328
2024-02-09 21:30:00+00:00,2024-02-09 21:30:00,09/02/2024 21:30:00,30267,30144
2024-02-09 22:00:00+00:00,2024-02-09 22:00:00,09/02/2024 22:00:00,28648,28734
2024-02-09 22:30:00+00:00,2024-02-09 22:30:00,09/02/2024 22:30:00,27177,27399
2024-02-09 23:00:00+00:00,2024-02-09 23:00:00,09/02/2024 23:00:00,25648,25960
2024-02-09 23:30:00+00:00,2024-02-09 23:30:00,09/02/2024 23:30:00,24929,25000
2024-02-10 00:00:00+00:00,2024-02-10 00:00:00,10/02/2024 00:00:00,24956,24800
2024-02-10 00:30:00+00:00,2024-02-10 00:30:00,10/02/2024 00:30:00,25386,25100
2024-02-10 01:00:00+00:00,2024-02-10 01:00:00,10/02/2024 01:00:00,24764,24496
2024-02-10 01:30:00+00:00,2024-02-10 01:30:00,10/02/2024 01:30:00,24126,23924
2024-02-10 02:00:00+00:00,2024-02-10 02:00:00,10/02/2024 02:00:00,23585,23325
2024-02-10 02:30:00+00:00,2024-02-10 02:30:00,10/02/2024 02:30:00,23297,23023
2024-02-10 03:00:00+00:00,2024-02-10 03:00:00,10/02/2024 03:00:00,22643,22631
2024-02-10 03:30:00+00:00,2024-02-10 03:30:00,10/02/2024 03:30:00,22121,22113
2024-02-10 04:00:00+00:00,2024-02-10 04:00:00,10/02/2024 04:00:00,21896,21643
2024-02-10 04:30:00+00:00,2024-02-10 04:30:00,10/02/2024 04:30:00,21748,21600
2024-02-10 05:00:00+00:00,2024-02-10 05:00:00,10/02/2024 05:00:00,22049,21803
2024-02-10 05:30:00+00:00,2024-02-10 05:30:00,10/02/2024 05:30:00,22432,22230
2024-02-10 06:00:00+00:00,2024-02-10 06:00:00,10/02/2024 06:00:00,23541,23436
2024-02-10 06:30:00+00:00,2024-02-10 06:30:00,10/02/2024 06:30:00,24880,24495
2024-02-10 07:00:00+00:00,2024-02-10 07:00:00,10/02/2024 07:00:00,26050,26019
2024-02-10 07:30:00+00:00,2024-02-10 07:30:00,10/02/2024 07:30:00,26826,26957
2024-02-10 08:00:00+00:00,2024-02-10 08:00:00,10/02/2024 08:00:00,28511,28546
2024-02-10 08:30:00+00:00,2024-02-10 08:30:00,10/02/2024 08:30:00,29199,29600
2024-02-10 09:00:00+00:00,2024-02-10 09:00:00,10/02/2024 09:00:00,30288,30658
2024-02-10 09:30:00+00:00,2024-02-10 09:30:00,10/02/2024 09:30:00,30268,30796
2024-02-10 10:00:00+00:00,2024-02-10 10:00:00,10/02/2024 10:00:00,30193,30900
2024-02-10 10:30:00+00:00,2024-02-10 10:30:00,10/02/2024 10:30:00,30055,30995
2024-02-10 11:00:00+00:00,2024-02-10 11:00:00,10/02/2024 11:00:00,29898,30115
2024-02-10 11:30:00+00:00,2024-02-10 11:30:00,10/02/2024 11:30:00,29889,30340
2024-02-10 12:00:00+00:00,2024-02-10 12:00:00,10/02/2024 12:00:00,29852,31000
2024-02-10 12:30:00+00:00,2024-02-10 12:30:00,10/02/2024 12:30:00,29942,30932
2024-02-10 13:00:00+00:00,2024-02-10 13:00:00,10/02/2024 13:00:00,29823,30882
2024-02-10 13:30:00+00:00,2024-02-10 13:30:00,10/02/2024 13:30:00,30133,30817
2024-02-10 14:00:00+00:00,2024-02-10 14:00:00,10/02/2024 14:00:00,30170,30695
2024-02-10 14:30:00+00:00,2024-02-10 14:30:00,10/02/2024 14:30:00,30269,30600
2024-02-10 15:00:00+00:00,2024-02-10 15:00:00,10/02/2024 15:00:00,30474,31220
2024-02-10 15:30:00+00:00,2024-02-10 15:30:00,10/02/2024 15:30:00,30903,31888
2024-02-10 16:00:00+00:00,2024-02-10 16:00:00,10/02/2024 16:00:00,32182,32665
2024-02-10 16:30:00+00:00,2024-02-10 16:30:00,10/02/2024 16:30:00,33398,33553
2024-02-10 17:00:00+00:00,2024-02-10 17:00:00,10/02/2024 17:00:00,35246,35252
2024-02-10 17:30:00+00:00,2024-02-10 17:30:00,10/02/2024 17:30:00,36209,36247
2024-02-10 18:00:00+00:00,2024-02-10 18:00:00,10/02/2024 18:00:00,36292,36300
2024-02-10 18:30:00+00:00,2024-02-10 18:30:00,10/02/2024 18:30:00,35589,35861
2024-02-10 19:00:00+00:00,2024-02-10 19:00:00,10/02/2024 19:00:00,34687,34850
2024-02-10 19:30:00+00:00,2024-02-10 19:30:00,10/02/2024 19:30:00,33756,33865
2024-02-10 20:00:00+00:00,2024-02-10 20:00:00,10/02/2024 20:00:00,32681,32848
2024-02-10 20:30:00+00:00,2024-02-10 20:30:00,10/02/2024 20:30:00,31798,31800
2024-02-10 21:00:00+00:00,2024-02-10 21:00:00,10/02/2024 21:00:00,30611,30537
2024-02-10 21:30:00+00:00,2024-02-10 21:30:00,10/02/2024 21:30:00,29452,29790
2024-02-10 22:00:00+00:00,2024-02-10 22:00:00,10/02/2024 22:00:00,28098,28622
2024-02-10 22:30:00+00:00,2024-02-10 22:30:00,10/02/2024 22:30:00,27052,27335
2024-02-10 23:00:00+00:00,2024-02-10 23:00:00,10/02/2024 23:00:00,25584,25622
2024-02-10 23:30:00+00:00,2024-02-10 23:30:00,10/02/2024 23:30:00,24830,25000
2024-02-11 00:00:00+00:00,2024-02-11 00:00:00,11/02/2024 00:00:00,24661,25000
2024-02-11 00:30:00+00:00,2024-02-11 00:30:00,11/02/2024 00:30:00,25109,25400
2024-02-11 01:00:00+00:00,2024-02-11 01:00:00,11/02/2024 01:00:00,24649,24894
2024-02-11 01:30:00+00:00,2024-02-11 01:30:00,11/02/2024 01:30:00,24036,24258
2024-02-11 02:00:00+00:00,2024-02-11 02:00:00,11/02/2024 02:00:00,23502,23625
2024-02-11 02:30:00+00:00,2024-02-11 02:30:00,11/02/2024 02:30:00,23046,23122
2024-02-11 03:00:00+00:00,2024-02-11 03:00:00,11/02/2024 03:00:00,22599,22676
2024-02-11 03:30:00+00:00,2024-02-11 03:30:00,11/02/2024 03:30:00,22125,22163
2024-02-11 04:00:00+00:00,2024-02-11 04:00:00,11/02/2024 04:00:00,21671,21898
2024-02-11 04:30:00+00:00,2024-02-11 04:30:00,11/02/2024 04:30:00,21434,21626
2024-02-11 05:00:00+00:00,2024-02-11 05:00:00,11/02/2024 05:00:00,21432,21602
2024-02-11 05:30:00+00:00,2024-02-11 05:30:00,11/02/2024 05:30:00,21511,21600
2024-02-11 06:00:00+00:00,2024-02-11 06:00:00,11/02/2024 06:00:00,22284,22463
2024-02-11 06:30:00+00:00,2024-02-11 06:30:00,11/02/2024 06:30:00,22903,23092
2024-02-11 07:00:00+00:00,2024-02-11 07:00:00,11/02/2024 07:00:00,23879,24022
2024-02-11 07:30:00+00:00,2024-02-11 07:30:00,11/02/2024 07:30:00,24815,24813
2024-02-11 08:00:00+00:00,2024-02-11 08:00:00,11/02/2024 08:00:00,26403,26278
2024-02-11 08:30:00+00:00,2024-02-11 08:30:00,11/02/2024 08:30:00,27465,27300
2024-02-11 09:00:00+00:00,2024-02-11 09:00:00,11/02/2024 09:00:00,28400,28558
2024-02-11 09:30:00+00:00,2024-02-11 09:30:00,11/02/2024 09:30:00,28905,28958
2024-02-11 10:00:00+00:00,2024-02-11 10:00:00,11/02/2024 10:00:00,28981,29100
2024-02-11 10:30:00+00:00,2024-02-11 10:30:00,11/02/2024 10:30:00,29002,29298
2024-02-11 11:00:00+00:00,2024-02-11 11:00:00,11/02/2024 11:00:00,28884,29441
2024-02-11 11:30:00+00:00,2024-02-11 11:30:00,11/02/2024 11:30:00,29123,29702
2024-02-11 12:00:00+00:00,2024-02-11 12:00:00,11/02/2024 12:00:00,29255,30050
2024-02-11 12:30:00+00:00,2024-02-11 12:30:00,11/02/2024 12:30:00,29260,30033
2024-02-11 13:00:00+00:00,2024-02-11 13:00:00,11/02/2024 13:00:00,29057,29746
2024-02-11 13:30:00+00:00,2024-02-11 13:30:00,11/02/2024 13:30:00,29266,29200
2024-02-11 14:00:00+00:00,2024-02-11 14:00:00,11/02/2024 14:00:00,29659,29397
2024-02-11 14:30:00+00:00,2024-02-11 14:30:00,11/02/2024 14:30:00,30068,29759
2024-02-11 15:00:00+00:00,2024-02-11 15:00:00,11/02/2024 15:00:00,30144,30530
2024-02-11 15:30:00+00:00,2024-02-11 15:30:00,11/02/2024 15:30:00,31509,31608
2024-02-11 16:00:00+00:00,2024-02-11 16:00:00,11/02/2024 16:00:00,32949,33158
2024-02-11 16:30:00+00:00,2024-02-11 16:30:00,11/02/2024 16:30:00,34176,34171
2024-02-11 17:00:00+00:00,2024-02-11 17:00:00,11/02/2024 17:00:00,35635,35622
2024-02-11 17:30:00+00:00,2024-02-11 17:30:00,11/02/2024 17:30:00,36506,36800
2024-02-11 18:00:00+00:00,2024-02-11 18:00:00,11/02/2024 18:00:00,36589,36463
2024-02-11 18:30:00+00:00,2024-02-11 18:30:00,11/02/2024 18:30:00,35372,35914
2024-02-11 19:00:00+00:00,2024-02-11 19:00:00,11/02/2024 19:00:00,34224,34508
2024-02-11 19:30:00+00:00,2024-02-11 19:30:00,11/02/2024 19:30:00,33438,33637
2024-02-11 20:00:00+00:00,2024-02-11 20:00:00,11/02/2024 20:00:00,32486,33009
2024-02-11 20:30:00+00:00,2024-02-11 20:30:00,11/02/2024 20:30:00,31537,31900
2024-02-11 21:00:00+00:00,2024-02-11 21:00:00,11/02/2024 21:00:00,30429,30567
2024-02-11 21:30:00+00:00,2024-02-11 21:30:00,11/02/2024 21:30:00,28925,29264
2024-02-11 22:00:00+00:00,2024-02-11 22:00:00,11/02/2024 22:00:00,27436,27611
2024-02-11 22:30:00+00:00,2024-02-11 22:30:00,11/02/2024 22:30:00,25813,26144
2024-02-11 23:00:00+00:00,2024-02-11 23:00:00,11/02/2024 23:00:00,24520,24575
2024-02-11 23:30:00+00:00,2024-02-11 23:30:00,11/02/2024 23:30:00,23997,23900
2024-02-12 00:00:00+00:00,2024-02-12 00:00:00,12/02/2024 00:00:00,24278,23600
2024-02-12 00:30:00+00:00,2024-02-12 00:30:00,12/02/2024 00:30:00,24729,24000
2024-02-12 01:00:00+00:00,2024-02-12 01:00:00,12/02/2024 01:00:00,24252,23802
2024-02-12 01:30:00+00:00,2024-02-12 01:30:00,12/02/2024 01:30:00,23805,23272
2024-02-12 02:00:00+00:00,2024-02-12 02:00:00,12/02/2024 02:00:00,23435,22901
2024-02-12 02:30:00+00:00,2024-02-12 02:30:00,12/02/2024 02:30:00,23122,22646
2024-02-12 03:00:00+00:00,2024-02-12 03:00:00,12/02/2024 03:00:00,22501,22204
2024-02-12 03:30:00+00:00,2024-02-12 03:30:00,12/02/2024 03:30:00,22104,21810
2024-02-12 04:00:00+00:00,2024-02-12 04:00:00,12/02/2024 04:00:00,21723,21656
2024-02-12 04:30:00+00:00,2024-02-12 04:30:00,12/02/2024 04:30:00,21868,21600
2024-02-12 05:00:00+00:00,2024-02-12 05:00:00,12/02/2024 05:00:00,22408,22451
2024-02-12 05:30:00+00:00,2024-02-12 05:30:00,12/02/2024 05:30:00,23809,23685
2024-02-12 06:00:00+00:00,2024-02-12 06:00:00,12/02/2024 06:00:00,26204,26293
2024-02-12 06:30:00+00:00,2024-02-12 06:30:00,12/02/2024 06:30:00,28736,28219
2024-02-12 07:00:00+00:00,2024-02-12 07:00:00,12/02/2024 07:00:00,31140,30983
2024-02-12 07:30:00+00:00,2024-02-12 07:30:00,12/02/2024 07:30:00,32151,32032
2024-02-12 08:00:00+00:00,2024-02-12 08:00:00,12/02/2024 08:00:00,33697,33487
2024-02-12 08:30:00+00:00,2024-02-12 08:30:00,12/02/2024 08:30:00,34075,34200
2024-02-12 09:00:00+00:00,2024-02-12 09:00:00,12/02/2024 09:00:00,34221,34200
2024-02-12 09:30:00+00:00,2024-02-12 09:30:00,12/02/2024 09:30:00,33043,33407
2024-02-12 10:00:00+00:00,2024-02-12 10:00:00,12/02/2024 10:00:00,31745,32519
2024-02-12 10:30:00+00:00,2024-02-12 10:30:00,12/02/2024 10:30:00,30649,31200
2024-02-12 11:00:00+00:00,2024-02-12 11:00:00,12/02/2024 11:00:00,29666,30808
2024-02-12 11:30:00+00:00,2024-02-12 11:30:00,12/02/2024 11:30:00,29064,30542
2024-02-12 12:00:00+00:00,2024-02-12 12:00:00,12/02/2024 12:00:00,28562,30455
2024-02-12 12:30:00+00:00,2024-02-12 12:30:00,12/02/2024 12:30:00,28343,30239
2024-02-12 13:00:00+00:00,2024-02-12 13:00:00,12/02/2024 13:00:00,28345,29963
2024-02-12 13:30:00+00:00,2024-02-12 13:30:00,12/02/2024 13:30:00,28422,29540
2024-02-12 14:00:00+00:00,2024-02-12 14:00:00,12/02/2024 14:00:00,28850,29878
2024-02-12 14:30:00+00:00,2024-02-12 14:30:00,12/02/2024 14:30:00,29358,30341
2024-02-12 15:00:00+00:00,2024-02-12 15:00:00,12/02/2024 15:00:00,30570,31046
2024-02-12 15:30:00+00:00,2024-02-12 15:30:00,12/02/2024 15:30:00,31706,32216
2024-02-12 16:00:00+00:00,2024-02-12 16:00:00,12/02/2024 16:00:00,33049,33590
2024-02-12 16:30:00+00:00,2024-02-12 16:30:00,12/02/2024 16:30:00,34459,35201
2024-02-12 17:00:00+00:00,2024-02-12 17:00:00,12/02/2024 17:00:00,36200,36701
2024-02-12 17:30:00+00:00,2024-02-12 17:30:00,12/02/2024 17:30:00,37490,37943
2024-02-12 18:00:00+00:00,2024-02-12 18:00:00,12/02/2024 18:00:00,37983,38500
2024-02-12 18:30:00+00:00,2024-02-12 18:30:00,12/02/2024 18:30:00,37316,37769
2024-02-12 19:00:00+00:00,2024-02-12 19:00:00,12/02/2024 19:00:00,36782,37198
2024-02-12 19:30:00+00:00,2024-02-12 19:30:00,12/02/2024 19:30:00,35419,36223
2024-02-12 20:00:00+00:00,2024-02-12 20:00:00,12/02/2024 20:00:00,33930,34618
2024-02-12 20:30:00+00:00,2024-02-12 20:30:00,12/02/2024 20:30:00,32488,32800
2024-02-12 21:00:00+00:00,2024-02-12 21:00:00,12/02/2024 21:00:00,30881,31329
2024-02-12 21:30:00+00:00,2024-02-12 21:30:00,12/02/2024 21:30:00,29450,29744
2024-02-12 22:00:00+00:00,2024-02-12 22:00:00,12/02/2024 22:00:00,27644,28355
2024-02-12 22:30:00+00:00,2024-02-12 22:30:00,12/02/2024 22:30:00,25710,26670
2024-02-12 23:00:00+00:00,2024-02-12 23:00:00,12/02/2024 23:00:00,24061,25046
2024-02-12 23:30:00+00:00,2024-02-12 23:30:00,12/02/2024 23:30:00,23194,23500
2024-02-13 00:00:00+00:00,2024-02-13 00:00:00,13/02/2024 00:00:00,23209,23800
2024-02-13 00:30:00+00:00,2024-02-13 00:30:00,13/02/2024 00:30:00,23402,24400
2024-02-13 01:00:00+00:00,2024-02-13 01:00:00,13/02/2024 01:00:00,23518,24046
2024-02-13 01:30:00+00:00,2024-02-13 01:30:00,13/02/2024 01:30:00,23137,23609
2024-02-13 02:00:00+00:00,2024-02-13 02:00:00,13/02/2024 02:00:00,22815,23058
2024-02-13 02:30:00+00:00,2024-02-13 02:30:00,13/02/2024 02:30:00,22157,22532
2024-02-13 03:00:00+00:00,2024-02-13 03:00:00,13/02/2024 03:00:00,21952,22349
2024-02-13 03:30:00+00:00,2024-02-13 03:30:00,13/02/2024 03:30:00,21883,22033
2024-02-13 04:00:00+00:00,2024-02-13 04:00:00,13/02/2024 04:00:00,21646,21800
2024-02-13 04:30:00+00:00,2024-02-13 04:30:00,13/02/2024 04:30:00,21875,21839
2024-02-13 05:00:00+00:00,2024-02-13 05:00:00,13/02/2024 05:00:00,22352,22566
2024-02-13 05:30:00+00:00,2024-02-13 05:30:00,13/02/2024 05:30:00,23737,23493
2024-02-13 06:00:00+00:00,2024-02-13 06:00:00,13/02/2024 06:00:00,26391,26287
2024-02-13 06:30:00+00:00,2024-02-13 06:30:00,13/02/2024 06:30:00,28695,28580
2024-02-13 07:00:00+00:00,2024-02-13 07:00:00,13/02/2024 07:00:00,30978,30774
2024-02-13 07:30:00+00:00,2024-02-13 07:30:00,13/02/2024 07:30:00,32119,31730
2024-02-13 08:00:00+00:00,2024-02-13 08:00:00,13/02/2024 08:00:00,34473,33796
2024-02-13 08:30:00+00:00,2024-02-13 08:30:00,13/02/2024 08:30:00,35265,34600
2024-02-13 09:00:00+00:00,2024-02-13 09:00:00,13/02/2024 09:00:00,36501,35269
2024-02-13 09:30:00+00:00,2024-02-13 09:30:00,13/02/2024 09:30:00,36490,35500
2024-02-13 10:00:00+00:00,2024-02-13 10:00:00,13/02/2024 10:00:00,36630,35009
2024-02-13 10:30:00+00:00,2024-02-13 10:30:00,13/02/2024 10:30:00,36474,34766
2024-02-13 11:00:00+00:00,2024-02-13 11:00:00,13/02/2024 11:00:00,36796,35039
2024-02-13 11:30:00+00:00,2024-02-13 11:30:00,13/02/2024 11:30:00,36675,34995
2024-02-13 12:00:00+00:00,2024-02-13 12:00:00,13/02/2024 12:00:00,36733,35061
2024-02-13 12:30:00+00:00,2024-02-13 12:30:00,13/02/2024 12:30:00,36577,35200
2024-02-13 13:00:00+00:00,2024-02-13 13:00:00,13/02/2024 13:00:00,36528,35600
2024-02-13 13:30:00+00:00,2024-02-13 13:30:00,13/02/2024 13:30:00,36258,35712
2024-02-13 14:00:00+00:00,2024-02-13 14:00:00,13/02/2024 14:00:00,36566,35883
2024-02-13 14:30:00+00:00,2024-02-13 14:30:00,13/02/2024 14:30:00,36680,35740
2024-02-13 15:00:00+00:00,2024-02-13 15:00:00,13/02/2024 15:00:00,36747,35600
2024-02-13 15:30:00+00:00,2024-02-13 15:30:00,13/02/2024 15:30:00,37045,35735
2024-02-13 16:00:00+00:00,2024-02-13 16:00:00,13/02/2024 16:00:00,37272,36323
2024-02-13 16:30:00+00:00,2024-02-13 16:30:00,13/02/2024 16:30:00,38206,37295
2024-02-13 17:00:00+00:00,2024-02-13 17:00:00,13/02/2024 17:00:00,39076,38737
2024-02-13 17:30:00+00:00,2024-02-13 17:30:00,13/02/2024 17:30:00,39450,39812
2024-02-13 18:00:00+00:00,2024-02-13 18:00:00,13/02/2024 18:00:00,39473,40000
2024-02-13 18:30:00+00:00,2024-02-13 18:30:00,13/02/2024 18:30:00,39021,39568
2024-02-13 19:00:00+00:00,2024-02-13 19:00:00,13/02/2024 19:00:00,38237,38902
2024-02-13 19:30:00+00:00,2024-02-13 19:30:00,13/02/2024 19:30:00,37285,37397
2024-02-13 20:00:00+00:00,2024-02-13 20:00:00,13/02/2024 20:00:00,35971,36300
2024-02-13 20:30:00+00:00,2024-02-13 20:30:00,13/02/2024 20:30:00,34731,34800
2024-02-13 21:00:00+00:00,2024-02-13 21:00:00,13/02/2024 21:00:00,33061,33120
2024-02-13 21:30:00+00:00,2024-02-13 21:30:00,13/02/2024 21:30:00,31247,31421
2024-02-13 22:00:00+00:00,2024-02-13 22:00:00,13/02/2024 22:00:00,29466,29465
2024-02-13 22:30:00+00:00,2024-02-13 22:30:00,13/02/2024 22:30:00,27735,27752
2024-02-13 23:00:00+00:00,2024-02-13 23:00:00,13/02/2024 23:00:00,25941,25625
2024-02-13 23:30:00+00:00,2024-02-13 23:30:00,13/02/2024 23:30:00,24788,24900
2024-02-14 00:00:00+00:00,2024-02-14 00:00:00,14/02/2024 00:00:00,24607,24700
2024-02-14 00:30:00+00:00,2024-02-14 00:30:00,14/02/2024 00:30:00,24999,24900
2024-02-14 01:00:00+00:00,2024-02-14 01:00:00,14/02/2024 01:00:00,24534,24505
2024-02-14 01:30:00+00:00,2024-02-14 01:30:00,14/02/2024 01:30:00,23996,23972
2024-02-14 02:00:00+00:00,2024-02-14 02:00:00,14/02/2024 02:00:00,23559,23355
2024-02-14 02:30:00+00:00,2024-02-14 02:30:00,14/02/2024 02:30:00,23135,22764
2024-02-14 03:00:00+00:00,2024-02-14 03:00:00,14/02/2024 03:00:00,22566,22521
2024-02-14 03:30:00+00:00,2024-02-14 03:30:00,14/02/2024 03:30:00,22173,22146
2024-02-14 04:00:00+00:00,2024-02-14 04:00:00,14/02/2024 04:00:00,21959,21899
2024-02-14 04:30:00+00:00,2024-02-14 04:30:00,14/02/2024 04:30:00,21972,21800
2024-02-14 05:00:00+00:00,2024-02-14 05:00:00,14/02/2024 05:00:00,22208,22555
2024-02-14 05:30:00+00:00,2024-02-14 05:30:00,14/02/2024 05:30:00,23309,23511
2024-02-14 06:00:00+00:00,2024-02-14 06:00:00,14/02/2024 06:00:00,25403,26342
2024-02-14 06:30:00+00:00,2024-02-14 06:30:00,14/02/2024 06:30:00,27610,28677
2024-02-14 07:00:00+00:00,2024-02-14 07:00:00,14/02/2024 07:00:00,30277,30918
2024-02-14 07:30:00+00:00,2024-02-14 07:30:00,14/02/2024 07:30:00,31236,31922
2024-02-14 08:00:00+00:00,2024-02-14 08:00:00,14/02/2024 08:00:00,33191,34043
2024-02-14 08:30:00+00:00,2024-02-14 08:30:00,14/02/2024 08:30:00,34239,34900
2024-02-14 09:00:00+00:00,2024-02-14 09:00:00,14/02/2024 09:00:00,34910,35421
2024-02-14 09:30:00+00:00,2024-02-14 09:30:00,14/02/2024 09:30:00,35183,35500
2024-02-14 10:00:00+00:00,2024-02-14 10:00:00,14/02/2024 10:00:00,35104,34857
2024-02-14 10:30:00+00:00,2024-02-14 10:30:00,14/02/2024 10:30:00,35095,34767
2024-02-14 11:00:00+00:00,2024-02-14 11:00:00,14/02/2024 11:00:00,35467,34753
2024-02-14 11:30:00+00:00,2024-02-14 11:30:00,14/02/2024 11:30:00,35296,34704
2024-02-14 12:00:00+00:00,2024-02-14 12:00:00,14/02/2024 12:00:00,35415,34800
2024-02-14 12:30:00+00:00,2024-02-14 12:30:00,14/02/2024 12:30:00,35188,34767
2024-02-14 13:00:00+00:00,2024-02-14 13:00:00,14/02/2024 13:00:00,34636,34785
2024-02-14 13:30:00+00:00,2024-02-14 13:30:00,14/02/2024 13:30:00,34763,34414
2024-02-14 14:00:00+00:00,2024-02-14 14:00:00,14/02/2024 14:00:00,34342,34225
2024-02-14 14:30:00+00:00,2024-02-14 14:30:00,14/02/2024 14:30:00,34370,34367
2024-02-14 15:00:00+00:00,2024-02-14 15:00:00,14/02/2024 15:00:00,34456,34200
2024-02-14 15:30:00+00:00,2024-02-14 15:30:00,14/02/2024 15:30:00,34943,34704
2024-02-14 16:00:00+00:00,2024-02-14 16:00:00,14/02/2024 16:00:00,35487,35144
2024-02-14 16:30:00+00:00,2024-02-14 16:30:00,14/02/2024 16:30:00,36236,36041
2024-02-14 17:00:00+00:00,2024-02-14 17:00:00,14/02/2024 17:00:00,37284,37349
2024-02-14 17:30:00+00:00,2024-02-14 17:30:00,14/02/2024 17:30:00,37895,38200
2024-02-14 18:00:00+00:00,2024-02-14 18:00:00,14/02/2024 18:00:00,38401,38187
2024-02-14 18:30:00+00:00,2024-02-14 18:30:00,14/02/2024 18:30:00,37807,37954
2024-02-14 19:00:00+00:00,2024-02-14 19:00:00,14/02/2024 19:00:00,37201,37353
2024-02-14 19:30:00+00:00,2024-02-14 19:30:00,14/02/2024 19:30:00,35968,36011
2024-02-14 20:00:00+00:00,2024-02-14 20:00:00,14/02/2024 20:00:00,34643,34902
2024-02-14 20:30:00+00:00,2024-02-14 20:30:00,14/02/2024 20:30:00,33065,33700
2024-02-14 21:00:00+00:00,2024-02-14 21:00:00,14/02/2024 21:00:00,31441,32211
2024-02-14 21:30:00+00:00,2024-02-14 21:30:00,14/02/2024 21:30:00,29771,30448
