Model,Train_RMSE,Test_RMSE,Block1_RMSE,Block2_RMSE,Block3_RMSE,Block4_RMSE,Block5_RMSE,Block6_RMSE
ElasticNet,0.4966221214331278,3.1106049237396283,1.4284177326284118,3.5789968186494594,1.9010235829438584,5.467801847919298,2.4937622060775153,1.8643993272070418
RandomForest,0.19821923871390568,3.5154277305971635,1.072476466839409,1.1490087392809856,1.056759372763896,8.158785674884506,1.4177256965092941,1.409430987410532
XGBoost,0.09429214367379019,3.578230696158068,1.1032318424499639,1.2932017001739562,1.2173488674265467,8.230735989947183,1.5436005079708468,1.5242252538894465
LightGBM,0.33969750626193346,3.6816391406841698,1.125386598755894,1.3458383065374868,1.1841550213560452,8.51507178236399,1.509670235248062,1.4357054143155121
KNN,0.0,3.705914209357042,1.3246587006779988,1.8829504028664379,1.1910705914712383,8.353366006232172,1.859191189702414,1.5648045251531646
