delivery_date,kmeans_rmse,euclidean_rmse,difference
2024-08-01,0.1899999999999999,0.3441898700814227,-0.15418987008142282
2024-08-02,0.3964425136973413,0.5399845676807192,-0.14354205398337794
2024-08-03,0.4988820835962475,0.3180146747138145,0.18086740888243302
2024-08-04,0.4558325716020449,0.7712651943397939,-0.315432622737749
2024-08-05,0.3435355391610403,0.3435355391610403,0.0
2024-08-06,0.6132155684042385,0.9131538753134656,-0.29993830690922707
2024-08-07,0.4251666339997374,0.3725363516938089,0.05263028230592853
2024-08-08,0.7214222064782869,0.6393877279606378,0.08203447851764911
2024-08-09,0.8097324661063472,1.1080312871635587,-0.2982988210572115
2024-08-10,0.7553365695723551,1.04430997952396,-0.28897340995160503
2024-08-11,0.5301572093885611,0.7091779278385174,-0.17902071844995626
2024-08-12,0.7147260547463856,0.8074858099888402,-0.09275975524245461
2024-08-13,0.7809396050058331,0.3946939742804966,0.3862456307253366
2024-08-14,0.3112608766506535,0.5783741580211437,-0.2671132813704902
2024-08-15,0.87580439216376,0.8112849889732542,0.06451940319050586
2024-08-16,0.2668020489676443,0.7746504588092189,-0.5078484098415745
2024-08-17,0.6016782085688883,0.5832380874622873,0.018440121106600982
2024-08-18,0.6421967507444013,0.6421967507444013,0.0
2024-08-19,0.5836808488663419,0.6307138812488593,-0.04703303238251744
2024-08-20,0.6906397999922487,0.6906397999922487,0.0
2024-08-21,0.7083313725463056,0.7063875234836282,0.0019438490626774163
2024-08-22,0.6669207849012756,1.823723297725471,-1.1568025128241954
2024-08-23,1.1596479350791484,1.6373708600476964,-0.47772292496854796
2024-08-24,1.3801932231877294,1.4796733873843015,-0.09948016419657213
2024-08-25,1.7088300090997934,1.3830883317175853,0.32574167738220816
2024-08-26,1.6087676442958856,1.612399867692048,-0.003632223396162315
2024-08-27,0.3882653731663434,0.3882653731663434,0.0
2024-08-28,0.6337454799312838,1.0465658125507444,-0.4128203326194606
2024-08-29,0.6356886030125127,0.4650268809434568,0.17066172206905594
2024-08-30,0.6916405617563697,0.6153698075141484,0.0762707542422213
2024-08-31,0.7492996730280882,0.7539672848782409,-0.004667611850152742
2024-09-01,0.875728268357257,0.4439969969868415,0.43173127137041556
2024-09-02,0.7021870595978444,0.8900093632466272,-0.18782230364878272
2024-09-03,1.1774548823628022,1.1774548823628022,0.0
2024-09-04,0.6843610158388627,0.6843610158388627,0.0
2024-09-05,0.3568146110610756,0.9624274864459486,-0.605612875384873
2024-09-06,0.6706340283642039,0.2548201980482185,0.41581383031598546
2024-09-07,0.5592703579963213,1.3331103980291106,-0.7738400400327893
2024-09-08,0.4389191269470949,0.4237137398448784,0.015205387102216472
2024-09-09,0.6380961265096872,0.7260739172655449,-0.08797779075585777
2024-09-10,0.845438742113624,0.9210591729091024,-0.07562043079547842
2024-09-11,1.0418573158867133,0.5246427355829868,0.5172145803037265
2024-09-12,0.7494553577988039,0.6145323425174627,0.1349230152813412
2024-09-13,0.6717390366305453,0.6299603162104737,0.04177872042007169
2024-09-14,0.5849501403253671,0.7759402897989853,-0.19099014947361825
2024-09-15,0.2952682396285339,0.2952682396285339,0.0
2024-09-16,0.4015594601052252,0.4015594601052252,0.0
