date,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month,cluster
2024-05-31,19731.5,20098.0,19365.0,733.0,518.3092706097393,67.295,68.78,65.81,2.969999999999999,2.100107140124045,,2.969999999999999,0.0312074766345797,0.0,0.0,0.0,0.0,0.0,7882.86,8027.879999999999,7737.84,290.03999999999905,205.0892508153456,,4,0,5,2
2024-06-01,20013.33333333333,24200.0,17441.0,6759.0,2029.5134492236596,64.6575,83.92,45.97,37.95,10.15969755198579,5.655435228083475,37.95,0.1571309987547584,2651.8669791666666,7147.370000000001,0.0,7147.370000000001,2813.981006833285,6865.345312500001,7609.63,5774.165,1835.465,438.5236630001162,,5,1,6,0
2024-06-02,18956.5,24718.5,16060.0,8658.5,2987.569795437206,59.62458333333333,91.6,32.43,59.17,19.00248541619632,5.421978201638865,59.17,0.3187021921807362,3461.7261458333337,10050.7,0.0,10050.7,3859.8003029449046,4634.050104166667,5685.4875,3983.46,1702.0275,561.9024624470554,,6,1,6,8
2024-06-03,23517.58333333333,27674.5,16896.0,10778.5,3549.271657270185,84.42541666666666,104.37,67.21,37.16000000000001,10.528248947749908,11.649649289632212,37.16000000000001,0.1247047318619481,2005.1217708333331,5263.32,0.0,5263.32,2101.019450760811,4504.54125,4835.475,4015.99,819.4850000000006,196.9928302132716,,0,0,6,5
2024-06-04,23226.45833333333,26778.0,18132.0,8646.0,2906.5838715812474,69.42375,84.59,43.89,40.7,11.40662157524609,15.751427448541486,40.7,0.1643043133689276,1813.6847916666663,4733.835,0.0,4733.835,1867.413373868139,9189.498854166666,12114.31,4901.717500000001,7212.592499999999,2793.762696553192,,1,0,6,2
2024-06-05,22150.77083333333,26774.5,17547.0,9227.5,2864.4426538051703,63.80291666666667,94.26,39.15,55.11000000000001,19.01633176329977,7.494121823453419,55.11000000000001,0.2980480008876257,2869.4966666666664,7715.799999999999,0.0,7715.799999999999,3040.1844034405526,8043.118229166666,10500.545,6777.7775,3722.7675,1062.899861783605,,2,0,6,8
2024-06-06,23109.39583333333,27128.0,18540.5,8587.5,2743.842160893175,82.06833333333334,106.66,58.26,48.4,14.699285598336042,11.266227872548626,48.4,0.1791103218659576,2738.5627083333334,7557.1725,0.0,7557.1725,2939.8426345613702,4927.443333333334,6561.8525,4199.845,2362.0075,592.9420459274437,,3,0,6,4
2024-06-07,22163.5625,25195.5,18190.0,7005.5,2335.213207436267,69.85666666666667,91.08,44.52,46.56,13.877758140798276,11.617975194458236,46.56,0.1986604686853787,2515.554166666667,6438.56,0.0,6438.56,2596.506144981872,6974.882395833333,8756.2675,4527.7925000000005,4228.474999999999,1314.6032234582767,,4,0,6,8
2024-06-08,19069.416666666668,23355.0,15494.0,7861.0,2413.7821245770183,45.24791666666667,84.43,22.45,61.98,19.356263333960484,14.523548038239406,61.98,0.427782420935634,2736.634375,7584.735000000001,0.0,7584.735000000001,2946.756460449561,7742.498854166667,9110.645,6594.8525,2515.7925000000005,703.9021571718501,,5,1,6,8
2024-06-09,19308.229166666668,25058.0,15333.0,9725.0,3246.965359073819,32.66791666666666,93.91,-9.29,103.2,38.27038530147284,10.851954838162774,103.2,1.171497579474444,2409.8639583333334,6377.405,0.0,6377.405,2534.020225643983,7434.452395833334,10184.9675,4238.030000000001,5946.9375,2236.850174273898,,6,1,6,6
