,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month
2023-12-31,23600.0,23600.0,23600.0,0.0,,45.38,45.38,45.38,0.0,,,0.0,,0.0,0.0,0.0,0.0,,10954.3675,10954.3675,10954.3675,0.0,,,6,1,12
2024-01-01,23600.0,23600.0,23600.0,0.0,0.0,53.36000000000001,97.65,14.09,83.56,27.126803686775737,28.99174586966829,83.56,0.5083733824358272,424.535625,2314.4700000000003,0.0,2314.4700000000003,775.7072708531767,10820.544375,14492.3425,7071.72,7420.6225,2161.5756170395775,,0,0,1
2024-01-02,23600.0,23600.0,23600.0,0.0,0.0,57.961666666666666,96.5,1.3,95.2,33.18064255827048,20.43645330798676,95.2,0.5724583930460445,77.7228125,392.485,0.0,392.485,132.22796609683076,11031.825104166666,14432.6225,7944.905,6487.7175,2121.354304290617,,1,0,1
2024-01-03,23600.0,23600.0,23600.0,0.0,0.0,73.785,105.11,38.74,66.37,20.469069985882516,17.042843491791942,66.37,0.2774150570696282,336.74354166666666,1833.65,0.0,1833.65,605.4358774891373,8389.120416666667,11471.035,7042.4,4428.635,1310.2725264254202,,2,0,1
2024-01-04,23600.0,23600.0,23600.0,0.0,0.0,86.49874999999999,123.19,56.33,66.86,19.46213610701112,18.30585334439962,66.86,0.22499904457591732,345.8905208333333,1869.9075,0.0,1869.9075,625.2177917386152,5309.7003125,7344.4675,2913.9825,4430.485,1779.536350731456,,3,0,1
2024-01-05,23600.0,23600.0,23600.0,0.0,0.0,86.54,110.67,62.73,47.940000000000005,15.4114071247637,15.334123633877738,47.940000000000005,0.17808420527806448,395.66687500000006,2047.8175,0.0,2047.8175,702.1146020556054,6001.0955208333335,6919.505,5057.1375,1862.3675000000003,527.9105186544087,,4,0,1
2024-01-06,23600.0,23600.0,23600.0,0.0,0.0,79.10041666666667,98.01,60.42,37.59,10.805790508541838,10.323677362534834,37.59,0.1366085156552083,421.61177083333337,2155.48,0.0,2155.48,749.0436221346433,5445.787604166667,5741.605,4977.594999999999,764.0100000000002,212.07011251214212,,5,1,1
2024-01-07,23600.0,23600.0,23600.0,0.0,0.0,80.33291666666666,113.25,61.71,51.54,13.88491188591811,14.419576309738806,51.54,0.1728421232797031,473.43885416666666,2447.1825,0.0,2447.1825,837.2005256105596,4746.988541666667,5727.6875,3832.6925,1894.995,717.0081046320936,,6,1,1
2024-01-08,23600.0,23600.0,23600.0,0.0,0.0,87.54458333333334,105.94,65.94,40.0,13.88867821023787,15.248354790256025,40.0,0.1586469165928355,416.0352083333334,2196.0875,0.0,2196.0875,742.4322374462273,7701.508333333334,10956.84,3907.52,7049.32,2079.596060216835,,0,0,1
2024-01-09,23600.0,23600.0,23600.0,0.0,0.0,82.80624999999999,108.23,59.66,48.57000000000001,14.866870028910652,14.658184776853535,48.57000000000001,0.17953801831275598,662.9236458333334,3470.0075,0.0,3470.0075,1173.5203360316686,9789.139375,10816.1775,8533.4975,2282.6800000000003,590.3124206388198,,1,0,1
2024-01-10,23600.0,23600.0,23600.0,0.0,0.0,89.95583333333333,112.71,64.33,48.379999999999995,16.211860906693317,14.606229264712145,48.379999999999995,0.18022022926095194,608.2204166666667,3096.7625,0.0,3096.7625,1068.5216424383073,6694.182916666668,8827.397500000001,5141.355,3686.0425000000014,890.5026924768474,,2,0,1
2024-01-11,23600.0,23600.0,23600.0,0.0,0.0,91.67166666666667,113.06,71.82,41.24000000000001,14.41350081684188,15.018452935353535,41.24000000000001,0.15722961456838952,536.1117708333333,2847.0125,0.0,2847.0125,953.5086658980356,5792.885416666667,7223.94,4456.860000000001,2767.079999999999,1164.4275020338337,,3,0,1
2024-01-12,23600.0,23600.0,23600.0,0.0,0.0,96.73458333333333,125.58,66.63,58.95,20.888497766696272,19.54421885049876,58.95,0.21593619413976847,256.25072916666664,1412.4075,0.0,1412.4075,464.5484121718074,4862.809583333334,7055.4125,3450.2625,3605.1500000000005,1208.8476063315488,,4,0,1
2024-01-13,23600.0,23600.0,23600.0,0.0,0.0,78.78666666666668,102.56,58.46,44.1,12.254052272674924,12.504864006038753,44.1,0.1555345947623318,514.9502083333333,2692.3975,0.0,2692.3975,919.1431835363079,6874.022708333334,7564.6325,6094.195,1470.4375,417.1299466025807,,5,1,1
2024-01-14,23600.0,23600.0,23600.0,0.0,0.0,73.4275,93.93,54.24,39.690000000000005,9.48748752648547,15.70406953626989,39.690000000000005,0.12920891391488845,521.7435416666666,2695.1775,0.0,2695.1775,926.893544142944,9324.647291666666,13425.69,6007.1,7418.59,2741.920796797632,,6,1,1
2024-01-15,23600.0,23600.0,23600.0,0.0,0.0,72.77583333333332,103.35,36.47,66.88,20.367926174912032,12.63381271863427,66.88,0.2798721119636148,1021.5505208333334,5060.215,0.0,5060.215,1771.3361683696423,12429.491145833332,14161.995,7548.87,6613.125000000001,2040.980362538401,,0,0,1
2024-01-16,23600.0,23600.0,23600.0,0.0,0.0,88.71208333333334,111.61,68.21,43.400000000000006,14.413331081409284,16.389399012776526,43.400000000000006,0.16247314390365028,847.8044791666666,4274.91,0.0,4274.91,1480.764745593248,8193.145416666666,11187.935,5917.7775,5270.157499999999,2078.8144880389864,,1,0,1
2024-01-17,23600.0,23600.0,23600.0,0.0,0.0,96.49624999999999,126.56,66.34,60.22,20.4527741952677,18.620094368335334,60.22,0.2119540831407201,800.8015624999999,3884.25,0.0,3884.25,1367.7473276482863,6252.213958333334,10197.36,4287.19,5910.170000000001,1571.244385714939,,2,0,1
2024-01-18,23600.0,23600.0,23600.0,0.0,0.0,85.015,107.11,66.05,41.06,13.414370619989402,16.42129482743441,41.06,0.15778827995047226,1162.8878124999999,5581.595,0.0,5581.595,1973.4064704357738,9594.273333333333,12209.305,7274.905,4934.400000000001,1644.4411740803282,,3,0,1
2024-01-19,23600.0,23600.0,23600.0,0.0,0.0,73.62833333333333,97.54,56.85,40.690000000000005,12.447386897646838,15.61974361109012,40.690000000000005,0.1690570237587003,1089.8480208333333,5351.5775,0.0,5351.5775,1865.3732668194489,12287.51,14256.175,10538.1525,3718.022499999999,1246.2481815572605,,4,0,1
2024-01-20,23600.0,23600.0,23600.0,0.0,0.0,58.27291666666667,83.53,30.09,53.44,14.712583930288964,17.17184600554334,53.44,0.25247721878154883,397.5836458333333,1958.64,0.0,1958.64,678.660500606261,15098.860729166665,15654.955,14092.0175,1562.9375,544.0510047912694,,5,1,1
2024-01-21,23600.0,23600.0,23600.0,0.0,0.0,51.48791666666667,81.96,24.27,57.69,18.744045542440976,21.85135802688354,57.69,0.3640474650351485,349.1958333333334,1772.46,0.0,1772.46,606.357999555842,15012.300520833334,15775.22,13940.685,1834.5349999999999,574.086661790397,,6,1,1
2024-01-22,23600.0,23600.0,23600.0,0.0,0.0,52.83541666666667,87.18,4.37,82.81,26.598474290858285,19.837748888227722,82.81,0.503421302772445,835.3255208333334,4157.355,0.0,4157.355,1438.3809650714513,15399.857916666668,15848.02,14685.485,1162.5349999999999,403.0058012958129,,0,0,1
2024-01-23,23600.0,23600.0,23600.0,0.0,0.0,62.17875,85.64,26.61,59.03,20.802809449164812,22.00283596439765,59.03,0.3345646132989939,77.78854166666667,347.61,0.0,347.61,124.40625885738021,14824.803437499999,15735.895,12868.605,2867.290000000001,976.381417953783,,1,0,1
2024-01-24,23600.0,23600.0,23600.0,0.0,0.0,56.94916666666666,89.44,8.98,80.46,25.577639167099036,8.564099207628095,80.46,0.4491310525544542,740.4032291666667,3699.965,0.0,3699.965,1279.020679336487,13695.8803125,15433.37,7289.875,8143.495000000001,2474.6199280332303,,2,0,1
2024-01-25,23600.0,23600.0,23600.0,0.0,0.0,71.94166666666666,91.91,27.58,64.33,14.532420028476254,22.815134909800147,64.33,0.20200282675977657,241.17989583333335,1310.155,0.0,1310.155,429.3923456925971,10951.375104166667,15247.985,4953.5975,10294.3875,4062.4288269043977,,3,0,1
2024-01-26,23600.0,23600.0,23600.0,0.0,0.0,52.442499999999995,87.21,5.86,81.35,25.27419929493316,12.564662085919112,81.35,0.4819411602218271,1210.7461458333335,5707.1,0.0,5707.1,2033.7426479361218,14294.861666666666,15263.755,12782.9675,2480.7874999999985,1020.6572958722284,,4,0,1
2024-01-27,23600.0,23600.0,23600.0,0.0,0.0,63.52333333333333,86.88,43.9,42.98,11.749020927448516,13.078514186761941,42.98,0.18495598878283856,677.0278125,3345.585,0.0,3345.585,1158.6479700008654,11809.498749999999,12995.055,10394.025,2601.0300000000007,688.9179995021492,,5,1,1
2024-01-28,23600.0,23600.0,23600.0,0.0,0.0,54.21875,81.86,29.08,52.78,14.342588848994607,11.25989638791882,52.78,0.2645318980794394,735.6531249999999,3717.3525,0.0,3717.3525,1267.35921027254,13738.990208333335,14551.605,11748.645,2802.959999999999,688.6891893303524,,6,1,1
2024-01-29,23600.0,23600.0,23600.0,0.0,0.0,83.74875,104.38,57.09,47.28999999999999,17.607728617434372,16.65797292304081,47.28999999999999,0.2102446737107643,255.42135416666667,1300.685,0.0,1300.685,437.716353154034,6083.424895833334,10801.4975,3772.92,7028.577499999999,2326.644957371381,,0,0,1
2024-01-30,23600.0,23600.0,23600.0,0.0,0.0,76.29875,106.78,54.55,52.230000000000004,14.185374682795807,15.873631024588033,52.230000000000004,0.18591883461781236,639.8421875,2950.0725,0.0,2950.0725,1054.640920599465,8093.979479166667,9690.8725,6455.1425,3235.7299999999996,1062.329582120265,,1,0,1
2024-01-31,23600.0,23600.0,23600.0,0.0,0.0,66.53166666666667,82.12,47.81,34.31,9.275884894699272,13.810618930304871,34.31,0.13942060013576402,587.9459375,2966.045,0.0,2966.045,1015.3676657649071,13168.337291666665,15460.27,7914.99,7545.280000000001,2542.4275107683825,,2,0,1
2024-02-01,23600.0,23600.0,23600.0,0.0,0.0,65.75291666666666,92.99,41.16,51.83,15.132952377012478,16.73838943723026,51.83,0.2301487621260777,935.9585416666667,4318.265,0.0,4318.265,1560.3516573631164,11135.4759375,13721.5075,8756.2675,4965.24,1661.437115999935,,3,0,2
2024-02-02,23600.0,23600.0,23600.0,0.0,0.0,56.94166666666666,78.61,29.94,48.67,15.091408055627191,15.902787865803976,48.67,0.26503277720990237,451.56541666666664,2245.8625,0.0,2245.8625,763.2426621265588,14687.996249999998,15106.5575,13906.845,1199.7125000000015,384.9240645208894,,4,0,2
2024-02-03,23600.0,23600.0,23600.0,0.0,0.0,48.92124999999999,75.33,15.46,59.87,17.984613305847574,14.599494283478904,59.87,0.36762374849063684,471.1795833333333,2351.7475,0.0,2351.7475,801.388907435515,13823.97625,14329.0675,13311.7425,1017.3249999999989,331.3516354645018,,5,1,2
2024-02-04,23600.0,23600.0,23600.0,0.0,0.0,44.498333333333335,74.46,9.4,65.05999999999999,20.023704141247986,17.98502512012226,65.05999999999999,0.4499877330517545,327.165625,1569.32,0.0,1569.32,540.7246535926148,14495.194479166666,15361.3575,13494.865,1866.4925000000003,621.4654504860384,,6,1,2
2024-02-05,23600.0,23600.0,23600.0,0.0,0.0,48.084583333333335,79.04,8.71,70.33000000000001,22.256533379655288,21.02841546914217,70.33000000000001,0.4628621449284047,449.21458333333334,1991.8775,0.0,1991.8775,729.5863508853414,14173.430208333333,14876.11,13491.2075,1384.9025000000001,473.0439063653729,,0,0,2
2024-02-06,23600.0,23600.0,23600.0,0.0,0.0,56.107499999999995,87.0,7.83,79.17,25.9498481607353,9.599985863084788,79.17,0.46250230647837287,305.60041666666666,1415.5775,0.0,1415.5775,505.3564296008801,12039.5765625,14408.7775,5735.8075,8672.970000000001,2830.2364657905637,,1,0,2
2024-02-07,23600.0,23600.0,23600.0,0.0,0.0,82.10791666666667,115.1,59.99,55.10999999999999,15.16708019224435,16.8648465044615,55.10999999999999,0.18472128885961286,859.815,4036.225,0.0,4036.225,1414.2822828562503,2635.7665625,5159.2225,1324.255,3834.9674999999997,886.3083516654702,,2,0,2
2024-02-08,23600.0,23600.0,23600.0,0.0,0.0,73.12333333333333,85.54,48.13,37.410000000000004,8.990358926271428,13.809352938187523,37.410000000000004,0.12294788156454527,261.2285416666667,1195.8925,0.0,1195.8925,422.1538669900213,9327.193125,14078.3025,1239.905,12838.3975,4909.035790911006,,3,0,2
2024-02-09,31030.145833333332,38779.0,21662.5,17116.5,5902.583585911982,60.75666666666667,81.75,30.13,51.620000000000005,15.737310600211721,9.424868573038431,51.620000000000005,0.25902195534446243,467.64354166666664,2152.455,0.0,2152.455,755.5507223675081,12631.587395833334,14108.765,9778.0025,4330.762499999999,1227.1819393512221,,4,0,2
2024-02-10,28702.625,36080.5,21621.5,14459.0,4389.245362617687,71.1825,91.5,56.63,34.87,9.82032685633311,9.85991355124855,34.87,0.13795984766386557,1031.4051041666667,4652.9075,0.0,4652.9075,1658.0551787326017,4273.71125,8940.035,2519.61,6420.424999999999,1925.326155676786,,5,1,2
2024-02-11,28092.8125,36211.0,21601.0,14610.0,4464.491613329467,70.29208333333334,86.42,57.0,29.42,6.403192803571524,11.400596475623537,29.42,0.09109408200645909,824.7507291666667,3524.05,0.0,3524.05,1297.1230377346628,5270.6959375,9467.535,2496.3925,6971.1425,2709.7797028375244,,6,1,2
2024-02-12,29591.291666666668,38134.5,21628.0,16506.5,5079.4868191594405,65.54833333333333,84.14,44.8,39.34,10.746204857556911,14.803125635197079,39.34,0.16394322038531733,1548.2067708333334,6741.7875,0.0,6741.7875,2445.0244250611013,10591.391145833333,13785.3,8206.3,5579.0,2009.7262315529044,,0,0,2
2024-02-13,31412.875,39784.0,21819.5,17964.5,6029.976173884,66.09875,89.85,35.97,53.879999999999995,15.98913063207519,11.65400993731544,53.879999999999995,0.2418976248730149,475.0136458333334,2216.8050000000003,0.0,2216.8050000000003,762.6126821293715,10339.167291666667,13649.74,7438.245,6211.495,1778.4306815685902,,1,0,2
2024-02-14,30920.1875,38070.5,21849.5,16221.0,5525.556454001597,69.03583333333333,84.39,55.53,28.86,8.73952785346264,10.3032660101635,28.86,0.12659408066046818,358.84291666666667,1526.575,0.0,1526.575,563.2263630278695,8273.7125,9003.35,7466.94,1536.4100000000008,552.2925210582225,,2,0,2
2024-02-15,29624.083333333332,37568.5,21279.0,16289.5,5216.873842485152,67.31458333333333,89.7,47.54,42.160000000000004,11.876944775915437,11.667055367674427,42.160000000000004,0.17643940120823895,571.8005208333333,2731.6525,0.0,2731.6525,947.9371833039392,8682.661041666666,10422.0675,6865.8775000000005,3556.1899999999987,1454.8913768005298,,3,0,2
2024-02-16,28838.229166666668,36043.0,21545.5,14497.5,4426.227039352469,68.95875,88.83,56.41,32.42,8.94078700577352,9.689852817202528,32.42,0.12965413389560465,1063.6835416666665,4434.9875,0.0,4434.9875,1640.5140012431946,4927.929375000001,6429.24,2151.0950000000003,4278.1449999999995,1279.346975249706,,4,0,2
2024-02-17,26281.041666666668,32201.5,20936.0,11265.5,3298.1230034694718,63.44875,73.84,42.92,30.92,8.023701472891855,12.562608161107457,30.92,0.1264595673341375,499.4298958333334,2250.4425,0.0,2250.4425,793.6317086979349,7131.55375,12771.81,1999.7775,10772.0325,4147.533365618537,,5,1,2
2024-02-18,25684.5,34180.0,19246.0,14934.0,4616.213574009501,55.92625,79.7,35.4,44.300000000000004,12.796643857736262,9.510395815707648,44.300000000000004,0.22881283579242767,810.9814583333333,3635.0575,0.0,3635.0575,1283.9910574772225,8514.021458333333,12424.4225,7042.64,5381.7825,1651.80889626259,,6,1,2
2024-02-19,28047.166666666668,37512.0,19135.5,18376.5,5539.951031149665,58.291666666666664,85.54,39.13,46.410000000000004,13.141028570247384,11.155369409690875,46.410000000000004,0.2254358010621424,1244.4776041666667,5613.5575,0.0,5613.5575,1984.6142579723141,11006.692291666666,13077.9425,9529.15,3548.7924999999996,1255.8732028985448,,0,0,2
2024-02-20,28658.291666666668,37089.0,19994.5,17094.5,5150.71318176397,58.74041666666667,75.76,43.49,32.27,8.800041738619727,8.032178735442503,32.27,0.1498123819678908,556.2531250000001,2532.9025,0.0,2532.9025,875.414741252263,11927.596875000001,14554.415,8780.79,5773.625,2115.3810460203367,,1,0,2
2024-02-21,29163.0,37415.0,19538.5,17876.5,5782.162379474369,57.30041666666667,77.12,33.99,43.13,11.131463234089404,11.301098766639171,43.13,0.19426496143726818,301.69322916666664,1399.395,0.0,1399.395,478.8949331667233,12608.338958333334,15129.895,7911.8675,7218.0275,2455.835102596368,,2,0,2
2024-02-22,30325.1875,38222.0,20013.0,18209.0,6147.957164804561,57.83541666666667,79.22,30.14,49.08,14.780316222764911,11.655531897323447,49.08,0.2555582214951607,552.37,2123.97,0.0,2123.97,805.952033190103,11491.906979166668,12712.175,9114.9675,3597.2074999999986,1196.4387242687687,,3,0,2
2024-02-23,30897.416666666668,39220.5,22202.0,17018.5,5265.684733265459,62.35333333333333,87.5,41.22,46.28,13.429314679224069,8.73639868050685,46.28,0.21537444690298418,1234.6759375,4851.6025,0.0,4851.6025,1826.513855495867,8388.938645833334,12438.215,2430.37,10007.845000000001,3392.9672906714395,,4,0,2
2024-02-24,29156.895833333332,36915.0,23507.5,13407.5,3691.854512122267,70.53333333333333,87.91,61.69,26.22,7.203736148190994,8.754750819113104,26.22,0.10213236504996684,1620.4317708333335,6353.975,0.0,6353.975,2375.811496153847,1242.513125,2095.0125,745.65,1349.3624999999997,322.02681462432975,,5,1,2
2024-02-25,28356.3125,36603.0,22423.0,14180.0,4291.861904187921,66.53125,84.22,52.98,31.240000000000002,6.987263762826214,12.010027358122759,31.240000000000002,0.10502228295464483,851.8829166666666,3689.23,0.0,3689.23,1307.8101096596858,3786.7258333333334,10337.6775,740.525,9597.1525,3331.5289558586787,,6,1,2
2024-02-26,30647.104166666668,40456.0,21390.5,19065.5,5879.3373628015315,61.895833333333336,84.23,41.66,42.57000000000001,12.110720337843222,10.349224493605687,42.57000000000001,0.19566293376522192,1165.4647916666668,4694.0650000000005,0.0,4694.0650000000005,1723.6118632062382,9182.81,11252.305,6283.7825,4968.5225,1781.2033703234529,,0,0,2
2024-02-27,32268.8125,40476.5,23252.5,17224.0,5489.621448524281,65.15666666666667,80.6,55.96,24.639999999999993,7.034577745534627,9.064209576024542,24.639999999999993,0.10796405195991135,732.4032291666667,3058.655,0.0,3058.655,1080.8522708353003,8375.898229166667,10281.79,6231.965,4049.8250000000007,1542.2995983798864,,1,0,2
2024-02-28,31318.416666666668,38063.0,23220.0,14843.0,5235.0807428403605,61.09791666666666,80.02,27.35,52.669999999999995,11.250551669243551,16.590696187924117,52.669999999999995,0.18413969383970077,425.7838541666667,1745.78,0.0,1745.78,641.7721161502137,9701.33625,15161.62,4526.1875,10635.4325,4107.772349307044,,2,0,2
2024-02-29,30640.729166666668,39039.5,20728.0,18311.5,6139.682106519226,54.00541666666666,82.44,16.42,66.02,20.285064323325404,9.790328074662463,66.02,0.375611662225093,531.7134374999999,2026.975,0.0,2026.975,754.6056116078165,9429.186666666666,14943.87,4071.0575,10872.8125,3609.3965410205074,,3,0,2
