4hour_block,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_block_volatility,day_of_week,is_weekend,hour_block
2024-02-29 20:00:00+00:00,25562.5,25562.5,25562.5,0.0,,60.03,60.03,60.03,0.0,,,0.0,,0.0,0.0,0.0,0.0,,4071.0575,4071.0575,4071.0575,0.0,,,3,0,5
2024-03-01 00:00:00+00:00,24545.75,25850.0,23176.5,2673.5,1173.8840445291014,53.7625,57.46,51.32,6.140000000000001,2.976848165425975,,6.140000000000001,0.05537034485795817,0.0,0.0,0.0,0.0,0.0,4881.434375,5581.7225,4205.85,1375.8724999999995,595.0230535883147,2.976848165425975,4,0,0
2024-03-01 04:00:00+00:00,26803.75,32539.0,22716.0,9823.0,4450.0966749798445,59.545,68.3,50.74,17.559999999999995,8.166343531022106,,17.559999999999995,0.1371457474350845,73.179375,273.64,0.0,273.64,133.94267045355326,7123.263125,8484.395,6001.195,2483.2000000000007,1081.179417768267,8.166343531022106,4,0,1
2024-03-01 08:00:00+00:00,34323.0,35014.0,33725.0,1289.0,532.8333072672299,61.5,67.82,55.52,12.29999999999999,5.331209993988224,,12.29999999999999,0.08668634136566225,3017.583125,4608.0475,1219.8125,3388.2349999999997,1467.1256770530017,10059.6475,10308.235,9520.39,787.8450000000012,363.52926162025415,5.331209993988224,4,0,2
2024-03-01 12:00:00+00:00,32628.625,33214.0,32164.5,1049.5,434.37279975461973,54.14,55.64,53.14,2.5,1.117258549605537,,2.5,0.02063647117852856,3827.656875,4881.795,2326.55,2555.245,1125.1271394998264,9308.2,9958.41,8576.045,1382.3649999999998,587.4472958629285,1.117258549605537,4,0,3
2024-03-01 16:00:00+00:00,37017.25,38659.5,34722.5,3937.0,1661.0680549975461,73.825,80.17,64.7,15.469999999999999,6.584246350190737,,15.469999999999999,0.08918721774725004,276.25375,908.5175,0.0,908.5175,431.1503214778074,7767.06625,7956.115,7554.24,401.875,210.3245962147952,6.584246350190737,4,0,4
2024-03-01 20:00:00+00:00,31021.375,35212.0,26807.0,8405.0,3717.8327776407596,60.815,65.67,56.34,9.329999999999998,4.151662317674696,,9.329999999999998,0.06826707749197883,0.0,0.0,0.0,0.0,0.0,7210.8550000000005,8082.05,6003.4575,2078.5924999999997,952.5133365973584,4.151662317674696,4,0,5
2024-03-02 00:00:00+00:00,24954.25,25950.0,23679.5,2270.5,977.9156831411051,54.9525,57.62,53.28,4.339999999999996,2.0255925059103075,,4.339999999999996,0.03686078897066206,0.0,0.0,0.0,0.0,0.0,5582.0287499999995,5808.2525000000005,5441.48,366.77250000000095,168.6810109163156,2.0255925059103075,5,1,0
2024-03-02 04:00:00+00:00,24733.5,27618.5,22862.5,4756.0,2199.519796076711,59.542500000000004,64.64,53.26,11.380000000000003,5.2463598491398455,,11.380000000000003,0.08811117855548299,77.67625,292.1325,0.0,292.1325,143.2386540663867,5933.4825,6477.8725,5566.5375,911.335,406.57097139265466,5.2463598491398455,5,1,1
2024-03-02 08:00:00+00:00,30555.125,31023.0,29777.0,1246.0,551.2329173468024,62.105000000000004,65.09,58.64,6.450000000000003,2.8759288354663197,,6.450000000000003,0.04630752492498706,2262.8625,3329.3625,1039.4375,2289.925,993.4500643800204,6953.155000000001,7119.42,6810.645,308.77499999999964,131.77020319480403,2.8759288354663197,5,1,2
2024-03-02 12:00:00+00:00,29912.375,30405.5,29500.0,905.5,382.7959367165052,56.3475,57.74,55.16,2.5800000000000054,1.0869337606312537,,2.5800000000000054,0.019289831148342974,2889.05875,3562.73,1877.225,1685.505,756.4305726940511,7123.84375,7185.985,6997.13,188.85499999999956,86.23656082495769,1.0869337606312537,5,1,3
2024-03-02 16:00:00+00:00,34499.125,36148.0,32214.0,3934.0,1650.9252140845138,73.8025,80.1,64.38,15.719999999999999,6.673112092569699,,15.719999999999999,0.09041851011239055,251.325625,834.4625,0.0,834.4625,396.48423624808737,6553.600625,6773.375,6358.975,414.39999999999964,174.2073222530053,6.673112092569699,5,1,4
2024-03-02 20:00:00+00:00,29232.5,32737.0,25714.0,7023.0,3036.9976950929677,64.47999999999999,68.08,60.62,7.460000000000001,3.05404649604422,,7.460000000000001,0.04736424466569826,0.0,0.0,0.0,0.0,0.0,5218.229375,6039.14,4317.455,1721.6850000000004,751.0612622326908,3.05404649604422,5,1,5
2024-03-03 00:00:00+00:00,24585.75,25370.0,23544.0,1826.0,796.5318051821074,60.505,62.75,58.52,4.229999999999997,1.9040745783713389,,4.229999999999997,0.03146970627834627,0.0,0.0,0.0,0.0,0.0,3530.723125,3977.8775,3101.795,876.0825,382.2074131954567,1.9040745783713389,6,1,0
2024-03-03 04:00:00+00:00,23761.25,25307.0,22884.0,2423.0,1137.3007151438298,60.1975,62.45,58.05,4.400000000000006,2.1772363981279894,,4.400000000000006,0.03616821957935112,112.15125000000002,441.3875000000001,0.0,441.3875000000001,219.5172020262118,2614.7781250000003,2859.445,2422.965,436.48,186.1279147899702,2.1772363981279894,6,1,1
