Model,RMSE,Total RMSE,Rolling RMSE
Random Forest,"[0.28835189734425565, 0.6998563229450926, 0.26460590162366104, 0.8216898582262028, 1.3034614688128534, 0.5768544726936482]",3.9548199216457136,0.6092125260717497
ElasticNet,"[0.29245026848754524, 0.8526585726197079, 0.2275803174313798, 0.7544050691171844, 1.1990627766838078, 0.6546487607870346]",3.9808057651266595,0.6957351424280981
KNN,"[0.26828438534681814, 0.7619886417179197, 0.2766697926501759, 0.9753184533253616, 1.1628577696852391, 0.6517601808436393]",4.096879223569153,0.6292423829837035
XGBoost,"[0.3424310449779919, 0.7939092600929956, 0.23818331885050614, 0.9401372889062024, 1.3847271430877146, 0.7677420766798178]",4.467130132595228,0.6679906810049039
MultiTaskLasso,"[0.310384796128211, 0.9940050294806252, 0.42209376123563547, 1.0394094722079557, 1.269536939898656, 0.6664153374320738]",4.701845336383157,0.629397418928392
MultiTaskElasticNet,"[0.32978200678203257, 1.0112943180715144, 0.4425277578979318, 1.087066246165264, 1.2912699863867048, 0.6707803327796281]",4.832720648083076,0.6246318927425446
RegressorChain (Ridge),"[0.36653712410129363, 1.031931970387696, 0.46576630967225313, 1.1826724510020323, 1.3481078360401493, 0.6671928499774296]",5.062208541180854,0.6283474723275008
Linear Regression,"[0.3665626255876482, 1.031861142302319, 0.46511652292795747, 1.1860682021924316, 1.3509372145940801, 0.6661339729888254]",5.066679680593262,0.6549065927500144
