Model,Total RMSE,Improvement vs K-means (%)
ElasticNet,8.253296968676597,90.39617456419343
Gaussian Process,8.889516188654927,89.6558475953752
K-means Reference,85.93759876044062,0.0
Euclidean Reference,92.13613822931849,-7.212837638339066
