date,closest_reference_days,distance
2024-08-26,"[Timestamp('2024-08-10 00:00:00'), Timestamp('2024-08-23 00:00:00'), Timestamp('2024-08-18 00:00:00'), Timestamp('2024-08-12 00:00:00'), Timestamp('2024-08-07 00:00:00')]",4622.631160569929
2024-08-27,"[Timestamp('2024-08-07 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-08-05 00:00:00'), Timestamp('2024-08-23 00:00:00'), Timestamp('2024-08-20 00:00:00')]",3520.2761782888856
2024-08-28,"[Timestamp('2024-07-22 00:00:00'), Timestamp('2024-07-02 00:00:00'), Timestamp('2024-08-13 00:00:00'), Timestamp('2024-08-06 00:00:00'), Timestamp('2024-07-29 00:00:00')]",3114.193281566697
2024-08-29,"[Timestamp('2024-07-29 00:00:00'), Timestamp('2024-08-28 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-08-13 00:00:00'), Timestamp('2024-07-26 00:00:00')]",3075.8632244683245
2024-08-30,"[Timestamp('2024-07-30 00:00:00'), Timestamp('2024-07-23 00:00:00'), Timestamp('2024-07-26 00:00:00'), Timestamp('2024-07-31 00:00:00'), Timestamp('2024-08-01 00:00:00')]",2145.036547695395
2024-08-31,"[Timestamp('2024-08-04 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-08-02 00:00:00'), Timestamp('2024-08-26 00:00:00'), Timestamp('2024-08-11 00:00:00')]",3263.5437326227543
2024-09-01,"[Timestamp('2024-08-26 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-08-08 00:00:00'), Timestamp('2024-07-03 00:00:00'), Timestamp('2024-08-07 00:00:00')]",3931.6207324341954
2024-09-02,"[Timestamp('2024-07-15 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-08-28 00:00:00'), Timestamp('2024-07-08 00:00:00'), Timestamp('2024-07-25 00:00:00')]",7071.554745919778
2024-09-03,"[Timestamp('2024-07-23 00:00:00'), Timestamp('2024-08-30 00:00:00'), Timestamp('2024-09-02 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-08-01 00:00:00')]",4469.587975332518
2024-09-04,"[Timestamp('2024-09-03 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-07-23 00:00:00'), Timestamp('2024-07-31 00:00:00'), Timestamp('2024-08-30 00:00:00')]",3003.88561715426
2024-09-05,"[Timestamp('2024-07-25 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-08-28 00:00:00'), Timestamp('2024-09-02 00:00:00'), Timestamp('2024-08-06 00:00:00')]",3787.3677313836756
2024-09-06,"[Timestamp('2024-07-22 00:00:00'), Timestamp('2024-09-05 00:00:00'), Timestamp('2024-08-13 00:00:00'), Timestamp('2024-08-06 00:00:00'), Timestamp('2024-08-28 00:00:00')]",2754.3798709713146
2024-09-07,"[Timestamp('2024-08-01 00:00:00'), Timestamp('2024-09-04 00:00:00'), Timestamp('2024-07-31 00:00:00'), Timestamp('2024-07-23 00:00:00'), Timestamp('2024-09-03 00:00:00')]",3911.9670463723282
2024-09-08,"[Timestamp('2024-09-07 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-08-30 00:00:00'), Timestamp('2024-07-21 00:00:00')]",4032.773087711272
2024-09-09,"[Timestamp('2024-09-06 00:00:00'), Timestamp('2024-09-05 00:00:00'), Timestamp('2024-07-25 00:00:00'), Timestamp('2024-09-01 00:00:00'), Timestamp('2024-08-05 00:00:00')]",4368.083235766812
2024-09-10,"[Timestamp('2024-08-27 00:00:00'), Timestamp('2024-08-21 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-08-22 00:00:00')]",5751.436774523991
2024-09-11,"[Timestamp('2024-09-10 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-08-27 00:00:00'), Timestamp('2024-08-05 00:00:00')]",5921.2973978055425
2024-09-12,"[Timestamp('2024-09-09 00:00:00'), Timestamp('2024-08-07 00:00:00'), Timestamp('2024-08-05 00:00:00'), Timestamp('2024-08-12 00:00:00'), Timestamp('2024-08-15 00:00:00')]",4920.254447764639
2024-09-13,"[Timestamp('2024-09-03 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-09-06 00:00:00'), Timestamp('2024-09-04 00:00:00'), Timestamp('2024-08-30 00:00:00')]",2574.195147775855
2024-09-14,"[Timestamp('2024-08-18 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-08-26 00:00:00'), Timestamp('2024-08-13 00:00:00'), Timestamp('2024-09-01 00:00:00')]",3863.2889848773543
2024-09-15,"[Timestamp('2024-09-09 00:00:00'), Timestamp('2024-09-01 00:00:00'), Timestamp('2024-09-06 00:00:00'), Timestamp('2024-09-05 00:00:00'), Timestamp('2024-07-22 00:00:00')]",3276.1989037084863
2024-09-16,"[Timestamp('2024-09-04 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-09-13 00:00:00'), Timestamp('2024-07-23 00:00:00'), Timestamp('2024-07-31 00:00:00')]",2396.8604464663485
2024-09-17,"[Timestamp('2024-09-16 00:00:00'), Timestamp('2024-09-04 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-09-13 00:00:00'), Timestamp('2024-07-31 00:00:00')]",2256.2812506979817
2024-09-18,"[Timestamp('2024-09-17 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-09-16 00:00:00'), Timestamp('2024-08-29 00:00:00'), Timestamp('2024-09-13 00:00:00')]",2399.6458537571543
2024-09-19,"[Timestamp('2024-09-18 00:00:00'), Timestamp('2024-09-17 00:00:00'), Timestamp('2024-09-16 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-09-04 00:00:00')]",1496.2964909550158
2024-09-20,"[Timestamp('2024-08-28 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-09-18 00:00:00'), Timestamp('2024-09-19 00:00:00'), Timestamp('2024-09-13 00:00:00')]",2789.3801637611277
2024-09-21,"[Timestamp('2024-09-08 00:00:00'), Timestamp('2024-08-29 00:00:00'), Timestamp('2024-08-06 00:00:00'), Timestamp('2024-08-28 00:00:00'), Timestamp('2024-09-20 00:00:00')]",3191.604849265162
2024-09-22,"[Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-08 00:00:00'), Timestamp('2024-09-07 00:00:00'), Timestamp('2024-09-21 00:00:00'), Timestamp('2024-09-03 00:00:00')]",4043.7334722280416
2024-09-23,"[Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-22 00:00:00'), Timestamp('2024-09-16 00:00:00'), Timestamp('2024-09-19 00:00:00'), Timestamp('2024-09-17 00:00:00')]",4415.347661870861
