Model,RMSE_per_block,Sum_of_RMSEs,Overall_RMSE
ElasticNet,"[0.48418757066145307, 1.8995004961658004, 0.3566525539828889, 3.3622542518009886, 1.9186422751383378, 0.9519802070818042]",8.973217354831274,1.819429806796488
RandomForest,"[0.615946565937829, 1.446301975561404, 0.40734862066082467, 4.862656863429804, 1.3320443277060086, 1.272041502925887]",9.936339856221757,2.2239220580975996
KNN,"[0.7166576490813299, 1.430794102328263, 0.452317474164214, 5.266501227287875, 1.3338294255969223, 1.4067792760216669]",10.60687915448027,2.3895440671020407
XGBoost,"[0.6963898561350942, 1.4464279688285209, 0.4870401135573743, 4.917867244107974, 1.75962316289973, 1.3890647423275566]",10.69641308785625,2.3103215338062135
