date,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month,price_1,price_2,price_3,price_4,price_5,price_6,is_holiday,month_sin,month_cos
2024-03-10,26965.625,35101.0,19616.0,15485.0,4907.038600981425,52.61000000000001,79.0,22.97,56.03,16.48829360749488,7.461665842347632,56.03,0.3134060750331663,638.9851041666667,2369.87,0.0,2369.87,900.2061783662332,11214.782083333334,12701.23,7938.5225,4762.7075,1462.1753404774556,,6,1,3,0.41,1.1,0.7,1.57,2.2,0.66,False,1.0,6.123233995736766e-17
2024-03-11,31744.3125,39909.0,21695.5,18213.5,6281.890052074986,71.77166666666666,94.3,54.28,40.02,11.090413669576032,11.69879155338382,40.02,0.1545235631921978,704.6389583333333,2690.695,0.0,2690.695,999.5460835192938,4692.960520833333,7594.695,2503.2,5091.495,1592.4485243468791,,0,0,3,0.75,1.0,0.47,3.0,1.14,0.9,False,1.0,6.123233995736766e-17
2024-03-12,31372.1875,38499.0,22709.5,15789.5,5551.22934839956,69.03458333333333,81.55,47.27,34.279999999999994,8.724866501615624,12.926392897221286,34.279999999999994,0.1263839959674649,417.70812500000005,1432.5675,0.0,1432.5675,562.8663919111451,6891.584791666667,12547.38,2249.85,10297.53,3513.8904340906006,,1,0,3,0.69,1.89,0.94,2.3,1.96,0.65,False,1.0,6.123233995736766e-17
2024-03-13,28206.375,35720.0,19479.5,16240.5,5321.079151029583,54.30041666666667,76.68,25.7,50.98,14.820640858984966,9.504617674733518,50.98,0.2729378846200068,810.7272916666667,3132.2925,0.0,3132.2925,1144.4210196398146,12831.808854166666,13906.755,10287.635,3619.119999999999,996.4059967949332,,2,0,3,1.3,3.17,0.93,4.63,2.68,0.41,False,1.0,6.123233995736766e-17
2024-03-14,28539.25,35475.0,21019.0,14456.0,4726.340913939936,59.27916666666667,76.11,43.61,32.5,9.443284670193885,10.979766022314044,32.5,0.1593019133230148,896.6090625,3598.6425,0.0,3598.6425,1293.9153970324396,10334.951145833333,11834.605,9562.495,2272.1099999999988,737.3618346492245,,3,0,3,1.0,1.57,1.0,2.5,1.88,0.91,False,1.0,6.123233995736766e-17
2024-03-15,27611.666666666668,34914.5,20332.0,14582.5,4453.80857700235,56.63875,76.64,35.62,41.02,11.865124016831116,6.7330676515240775,41.02,0.2094877449949216,1202.842604166667,4677.255,0.0,4677.255,1701.7183346052843,9962.123333333331,11806.79,6371.5275,5435.262500000001,1887.736671896728,,4,0,3,0.99,1.49,0.91,3.9,2.06,0.82,False,1.0,6.123233995736766e-17
2024-03-16,26175.77083333333,32637.0,21601.5,11035.5,3114.994615736734,63.50625,75.29,53.12,22.17000000000001,5.9979400902382265,8.844176722836439,22.17000000000001,0.0944464535417888,1421.9801041666667,5622.4675,0.0,5622.4675,2050.274846430786,5217.0775,10521.825,1372.1425,9149.6825,2966.168543010788,,5,1,3,0.95,1.49,0.95,1.5,1.01,0.85,False,1.0,6.123233995736766e-17
2024-03-17,25462.08333333333,33556.5,19563.5,13993.0,4080.633158103592,59.89791666666667,78.36,46.67,31.69,8.64792308776414,7.567828524182421,31.69,0.144377694067225,1070.58875,4222.530000000001,0.0,4222.530000000001,1544.953177382697,6807.365104166667,10254.29,4840.85,5413.4400000000005,1496.7830249483834,,6,1,3,0.76,0.92,0.9,3.39,1.28,0.4,False,1.0,6.123233995736766e-17
2024-03-18,27699.4375,35067.0,21106.0,13961.0,4416.49638414222,63.830000000000005,77.5,46.07,31.43,8.330297244031156,12.094075290937164,31.43,0.1305075551313043,1650.6327083333333,6252.9575,0.0,6252.9575,2296.02638376123,6877.962395833333,12468.6,3913.705,8554.895,2526.8370645613504,,0,0,3,0.6,1.49,1.5,2.53,1.5,0.5,False,1.0,6.123233995736766e-17
2024-03-19,27682.95833333333,36673.5,18762.5,17911.0,5540.526405136475,61.225,88.19,36.21,51.98,15.106884983776224,9.10036027544276,51.98,0.2467437318705793,1418.7119791666669,5325.33,0.0,5325.33,1972.646424259693,7691.458854166667,12616.125,1128.4375,11487.6875,4635.328506693069,,1,0,3,1.07,2.0,1.0,5.0,2.55,0.97,False,1.0,6.123233995736766e-17
2024-03-20,29530.9375,36102.5,21660.5,14442.0,4677.252080926642,76.87125,95.21,67.35,27.86,8.361664756494369,11.510386406984567,27.86,0.1087749289428019,938.2826041666668,3394.3075,0.0,3394.3075,1285.280859844387,2506.622395833333,3719.33,1021.2425,2698.0875,918.0625588716116,,2,0,3,1.0,1.38,-0.36,5.5,1.53,0.88,False,1.0,6.123233995736766e-17
2024-03-21,27373.104166666668,33668.0,20920.0,12748.0,3972.915127238782,65.20375,78.47,46.85,31.62,8.873524280249299,11.68524812785437,31.62,0.136089170948746,1264.6278125,4416.165,0.0,4416.165,1694.4881779749626,9281.598333333332,13958.51,3928.485,10030.025,3778.4036295916335,,3,0,3,1.0,1.89,1.25,6.69,1.82,0.73,False,1.0,6.123233995736766e-17
2024-03-22,26204.625,32915.0,19409.5,13505.5,4211.327628757841,58.06958333333333,78.06,41.36,36.7,11.606462772081343,12.954176197365111,36.7,0.1998716385729421,1501.931979166667,5335.825,0.0,5335.825,2019.884293294902,11635.225833333332,13762.9575,9564.1225,4198.835000000001,1344.743425626256,,4,0,3,0.98,2.0,0.88,5.23,2.58,0.5,False,1.0,6.123233995736766e-17
