,Random Forest,ElasticNet,KNN,XGBoost
TB1,0.23929467391304357,0.22873188405797099,0.20709347826086955,0.3099803642431895
TB2,0.4863581159420294,0.6829565217391306,0.6367971014492753,0.5907489776611328
TB3,0.20311333333333323,0.17895652173913043,0.20366956521739127,0.2232142272790273
TB4,0.6850499818840582,0.5347644927536233,0.7194862318840579,0.7564376289049785
TB5,0.9123978804347826,0.9379933733804544,0.7711905797101449,1.0120969219207765
TB6,0.3874350000000001,0.4243333333333334,0.42813333333333337,0.5729545822143556
