dtutc,Unnamed: 0,imb,bpx,nrv,si
2023-01-04 12:00:00,337.5,182.6075,106.0,-2.2750000000000004,-15.475
2023-01-04 13:00:00,341.5,135.1975,105.07,4.8,-22.75
2023-01-04 14:00:00,345.5,67.42999999999999,103.9,-26.775000000000006,8.0
2023-01-04 15:00:00,349.5,14.155000000000001,107.98,-101.525,76.875
2023-01-04 16:00:00,353.5,120.86,122.35,-2.5499999999999994,5.550000000000002
2023-01-04 17:00:00,357.5,86.41499999999999,139.93,-10.625,5.700000000000001
2023-01-04 18:00:00,361.5,159.005,129.49,59.3,-85.57499999999999
2023-01-04 19:00:00,365.5,214.9075,105.89,40.974999999999994,-92.825
2023-01-04 20:00:00,369.5,85.9175,90.61,30.15,-30.925
2023-01-04 21:00:00,373.5,184.9375,87.92,169.55,-178.125
2023-01-04 22:00:00,377.5,137.7925,78.19,-33.175,50.550000000000004
2023-01-04 23:00:00,381.5,-43.265,34.78,-124.5,140.55
2023-01-05 00:00:00,385.5,-10.089999999999996,31.42,-107.025,110.125
2023-01-05 01:00:00,389.5,125.6375,33.1,50.15,-62.075
2023-01-05 02:00:00,393.5,12.185,14.56,-99.85,105.775
2023-01-05 03:00:00,397.5,-15.747500000000002,22.19,-189.575,187.0
2023-01-05 04:00:00,401.5,-82.92,41.2,-118.45,174.45
2023-01-05 05:00:00,405.5,-130.1975,78.53,-138.225,166.25
2023-01-05 06:00:00,409.5,-102.4025,127.98,-184.5,168.725
2023-01-05 07:00:00,413.5,102.1875,141.02,50.45,-60.8
2023-01-05 08:00:00,417.5,205.9325,147.18,81.675,-114.975
2023-01-05 09:00:00,421.5,77.615,149.81,-15.600000000000001,11.075000000000003
2023-01-05 10:00:00,425.5,90.565,147.46,-58.45,48.275
2023-01-05 11:00:00,429.5,123.125,143.17,58.625,-62.55
2023-01-05 12:00:00,433.5,100.08500000000001,143.79,-63.77499999999999,22.425
2023-01-05 13:00:00,437.5,237.8825,151.03,105.525,-125.475
2023-01-05 14:00:00,441.5,160.085,159.48,3.125000000000001,-22.35
2023-01-05 15:00:00,445.5,117.3675,172.73,-33.875,1.2250000000000014
2023-01-05 16:00:00,449.5,299.1225,182.34,284.85,-314.025
2023-01-05 17:00:00,453.5,303.305,194.67,108.47500000000001,-114.275
2023-01-05 18:00:00,457.5,119.07,177.98,2.849999999999998,-8.975000000000001
2023-01-05 19:00:00,461.5,85.1775,163.99,1.974999999999996,-12.200000000000003
2023-01-05 20:00:00,465.5,180.56,152.0,140.65,-172.775
2023-01-05 21:00:00,469.5,242.4075,144.64,89.5,-114.875
2023-01-05 22:00:00,473.5,169.235,127.0,34.7,-59.2
2023-01-05 23:00:00,477.5,72.765,107.21,-59.225,49.52499999999999
2023-01-06 00:00:00,481.5,67.0675,101.1,-57.5,54.375
2023-01-06 01:00:00,485.5,36.465,96.73,-79.3,74.925
2023-01-06 02:00:00,489.5,87.2225,81.37,-108.3,92.775
2023-01-06 03:00:00,493.5,54.9225,75.64,-42.9,26.724999999999998
2023-01-06 04:00:00,497.5,82.42,80.06,-45.5,33.05
2023-01-06 05:00:00,501.5,84.73750000000001,97.25,-51.5,36.3
2023-01-06 06:00:00,505.5,199.25,107.11,127.10000000000001,-149.7
2023-01-06 07:00:00,509.5,265.1425,122.94,151.325,-169.875
2023-01-06 08:00:00,513.5,163.6175,152.77,60.05,-83.45
2023-01-06 09:00:00,517.5,61.16,158.39,-115.875,101.675
2023-01-06 10:00:00,521.5,196.9175,144.18,50.525,-78.625
2023-01-06 11:00:00,525.5,232.6225,126.89,58.724999999999994,-57.925
2023-01-06 12:00:00,529.5,195.65,120.05,99.05,-130.55
2023-01-06 13:00:00,533.5,269.8525,134.84,144.775,-187.725
2023-01-06 14:00:00,537.5,271.7475,144.04,123.7,-142.225
2023-01-06 15:00:00,541.5,136.32,140.12,-12.95,-16.85
2023-01-06 16:00:00,545.5,175.95,155.93,31.9,-68.8
2023-01-06 17:00:00,549.5,117.13,163.5,-25.474999999999994,-1.5749999999999957
2023-01-06 18:00:00,553.5,20.449999999999996,146.74,-101.2,82.925
2023-01-06 19:00:00,557.5,192.86749999999998,139.39,109.625,-140.92499999999998
2023-01-06 20:00:00,561.5,25.2875,131.89,-48.900000000000006,46.875
2023-01-06 21:00:00,565.5,165.8625,129.94,-20.65,5.075000000000002
2023-01-06 22:00:00,569.5,80.81,121.34,-49.225,41.1
2023-01-06 23:00:00,573.5,17.227500000000003,97.3,-53.199999999999996,35.45
2023-01-07 00:00:00,577.5,-13.954999999999998,98.12,-160.8,144.25
2023-01-07 01:00:00,581.5,61.2275,94.88,-32.224999999999994,23.2
2023-01-07 02:00:00,585.5,103.755,78.04,3.8999999999999986,-19.025
2023-01-07 03:00:00,589.5,-48.895,75.43,-83.7,90.0
2023-01-07 04:00:00,593.5,114.7225,67.65,22.925,-36.625
2023-01-07 05:00:00,597.5,69.1425,74.37,16.15,-27.325000000000003
2023-01-07 06:00:00,601.5,56.5075,91.14,-10.449999999999996,1.4499999999999993
2023-01-07 07:00:00,605.5,26.182499999999997,109.89,-19.075,21.1
2023-01-07 08:00:00,609.5,-35.0225,112.74,-125.92500000000001,116.575
2023-01-07 09:00:00,613.5,4.704999999999998,99.63,-105.325,97.975
2023-01-07 10:00:00,617.5,-76.2175,87.15,-155.55,172.35
2023-01-07 11:00:00,621.5,-80.6025,87.17,-164.65,135.85
2023-01-07 12:00:00,625.5,42.63249999999999,71.93,-21.875,-0.2749999999999977
2023-01-07 13:00:00,629.5,73.79249999999999,89.84,-19.65,-10.749999999999995
2023-01-07 14:00:00,633.5,168.9925,83.27,38.15,-78.475
2023-01-07 15:00:00,637.5,57.135000000000005,87.76,2.424999999999999,-43.900000000000006
2023-01-07 16:00:00,641.5,48.325,98.24,1.5250000000000004,-25.075000000000003
2023-01-07 17:00:00,645.5,49.765,101.46,-19.775,-0.22499999999999964
2023-01-07 18:00:00,649.5,47.7675,96.54,3.3999999999999986,-33.3
2023-01-07 19:00:00,653.5,99.465,89.32,86.5,-106.125
2023-01-07 20:00:00,657.5,67.035,62.98,36.775,-49.1
2023-01-07 21:00:00,661.5,-15.8125,51.25,-92.875,93.275
2023-01-07 22:00:00,665.5,50.1175,38.8,37.95,-44.75
2023-01-07 23:00:00,669.5,215.3225,11.4,122.225,-149.575
2023-01-08 00:00:00,673.5,264.4125,8.79,229.6,-197.95
2023-01-08 01:00:00,677.5,1.6624999999999996,8.85,-155.7,121.475
2023-01-08 02:00:00,681.5,-2.084999999999999,3.14,-118.375,109.825
2023-01-08 03:00:00,685.5,11.552499999999998,-1.45,-91.0,73.7
2023-01-08 04:00:00,689.5,82.03999999999999,4.09,60.025,-77.77499999999999
2023-01-08 05:00:00,693.5,150.82999999999998,8.11,125.3,-150.575
